# t	a	e	mean_anomaly	varpi	mass/M_star
1.86343e+01	1.20380e-02	4.12734e-02	0.60027	5.43167	4.59020e-05
4.19271e+01	1.20397e-02	3.80789e-02	0.20761	5.89657	4.59020e-05
6.52199e+01	1.20458e-02	5.22916e-02	6.20337	6.10799	4.59020e-05
8.85128e+01	1.20391e-02	3.57116e-02	5.99241	0.08049	4.59020e-05
1.11806e+02	1.20392e-02	4.71946e-02	5.65778	0.52657	4.59020e-05
1.35098e+02	1.20443e-02	4.82772e-02	5.37094	0.72769	4.59020e-05
1.58391e+02	1.20393e-02	3.47827e-02	5.06739	1.14773	4.59020e-05
1.81684e+02	1.20472e-02	5.33209e-02	4.85216	1.45231	4.59020e-05
2.04977e+02	1.20385e-02	4.14921e-02	4.60415	1.68356	4.59020e-05
2.28270e+02	1.20389e-02	4.13281e-02	4.33179	2.15438	4.59020e-05
2.51563e+02	1.20458e-02	5.33021e-02	4.16348	2.35757	4.59020e-05
2.74855e+02	1.20392e-02	3.66335e-02	3.96414	2.67145	4.59020e-05
2.98148e+02	1.20392e-02	5.05221e-02	3.79197	3.06549	4.59020e-05
3.21441e+02	1.20444e-02	4.81258e-02	3.66176	3.24373	4.59020e-05
3.44734e+02	1.20384e-02	3.71243e-02	3.46766	3.68737	4.59020e-05
3.68027e+02	1.20428e-02	5.51619e-02	3.37997	3.97054	4.59020e-05
3.91320e+02	1.20410e-02	4.01063e-02	3.26209	4.20930	4.59020e-05
4.14612e+02	1.20385e-02	4.27029e-02	3.48914	4.67732	4.59020e-05
4.37905e+02	1.20452e-02	5.21332e-02	3.81849	4.88157	4.59020e-05
4.61198e+02	1.20393e-02	3.44249e-02	4.13212	5.25074	4.59020e-05
4.84491e+02	1.20386e-02	4.96748e-02	4.54358	5.58323	4.59020e-05
5.07784e+02	1.20442e-02	4.43988e-02	5.06515	5.74309	4.59020e-05
5.31077e+02	1.20394e-02	3.53077e-02	5.39488	6.19445	4.59020e-05
5.54369e+02	1.20451e-02	5.17458e-02	5.90658	0.12429	4.59020e-05
5.77662e+02	1.20386e-02	3.71820e-02	0.14985	0.32290	4.59020e-05
6.00955e+02	1.20392e-02	4.12898e-02	0.53389	0.77882	4.59020e-05
6.24248e+02	1.20455e-02	4.97700e-02	1.04464	0.96678	4.59020e-05
6.47541e+02	1.20382e-02	3.24972e-02	1.54649	1.30812	4.59020e-05
6.70834e+02	1.20392e-02	4.91251e-02	2.06698	1.67121	4.59020e-05
6.94126e+02	1.20442e-02	4.36627e-02	2.61136	1.85809	4.59020e-05
7.17419e+02	1.20377e-02	3.53641e-02	3.09305	2.31252	4.59020e-05
7.40712e+02	1.20449e-02	5.20635e-02	3.74570	2.53898	4.59020e-05
7.64005e+02	1.20397e-02	3.71878e-02	4.40072	2.75789	4.59020e-05
7.87298e+02	1.20386e-02	4.36192e-02	4.94121	3.21057	4.59020e-05
8.10591e+02	1.20442e-02	5.05155e-02	5.61817	3.37782	4.59020e-05
8.33883e+02	1.20404e-02	3.46271e-02	0.00896	3.70447	4.59020e-05
8.57176e+02	1.20441e-02	5.11602e-02	0.63489	4.08577	4.59020e-05
8.80469e+02	1.20394e-02	4.51832e-02	1.29586	4.29067	4.59020e-05
9.03762e+02	1.20391e-02	3.86633e-02	1.97692	4.74920	4.59020e-05
9.27055e+02	1.20454e-02	5.47964e-02	2.68846	5.00987	4.59020e-05
9.50348e+02	1.20380e-02	3.81822e-02	3.39161	5.29706	4.59020e-05
9.73640e+02	1.20448e-02	4.66150e-02	4.06542	5.73882	4.59020e-05
9.96933e+02	1.20389e-02	5.19841e-02	4.84482	5.91944	4.59020e-05
1.02023e+03	1.20386e-02	3.58917e-02	5.59107	0.02095	4.59020e-05
1.04352e+03	1.20458e-02	5.22615e-02	0.09911	0.33906	4.59020e-05
1.06681e+03	1.20391e-02	4.36144e-02	0.92468	0.52713	4.59020e-05
1.09010e+03	1.20388e-02	3.93646e-02	1.67305	0.99423	4.59020e-05
1.11340e+03	1.20440e-02	5.41587e-02	2.52212	1.21702	4.59020e-05
1.13669e+03	1.20386e-02	3.55933e-02	3.37830	1.50211	4.59020e-05
1.15998e+03	1.20444e-02	4.56139e-02	4.17672	1.94425	4.59020e-05
1.18328e+03	1.20391e-02	4.89769e-02	5.03883	2.14612	4.59020e-05
