# t	a	e	mean_anomaly	varpi	mass/M_star
1.86343e+01	1.64803e-02	7.49390e-02	1.78337	2.51464	4.36970e-05
4.19271e+01	1.64763e-02	7.26199e-02	0.97258	2.64632	4.36970e-05
6.52199e+01	1.64631e-02	7.93151e-02	6.15433	3.04714	4.36970e-05
8.85128e+01	1.64770e-02	7.08417e-02	5.17755	3.39346	4.36970e-05
1.11806e+02	1.64783e-02	7.49038e-02	4.37154	3.55035	4.36970e-05
1.35098e+02	1.64689e-02	7.49616e-02	3.18282	4.05799	4.36970e-05
1.58391e+02	1.64816e-02	6.85385e-02	2.35677	4.26016	4.36970e-05
1.81684e+02	1.64675e-02	7.76677e-02	1.43033	4.55921	4.36970e-05
2.04977e+02	1.64819e-02	7.17111e-02	0.32441	5.02784	4.36970e-05
2.28270e+02	1.64793e-02	7.07328e-02	5.90293	5.14171	4.36970e-05
2.51563e+02	1.64657e-02	7.71607e-02	4.84872	5.58143	4.36970e-05
2.74855e+02	1.64767e-02	6.95052e-02	3.95304	5.88755	4.36970e-05
2.98148e+02	1.64770e-02	7.55221e-02	3.19957	6.06526	4.36970e-05
3.21441e+02	1.64671e-02	7.36835e-02	2.30057	0.26170	4.36970e-05
3.44734e+02	1.64829e-02	6.91881e-02	1.59406	0.43199	4.36970e-05
3.68027e+02	1.64761e-02	7.87055e-02	0.54755	0.78104	4.36970e-05
3.91320e+02	1.64772e-02	6.98796e-02	5.73607	1.22392	4.36970e-05
4.14612e+02	1.64810e-02	7.22428e-02	4.71460	1.35574	4.36970e-05
4.37905e+02	1.64670e-02	7.66288e-02	3.44135	1.86578	4.36970e-05
4.61198e+02	1.64790e-02	6.89944e-02	2.42358	2.14546	4.36970e-05
4.84491e+02	1.64768e-02	7.83835e-02	1.45878	2.39204	4.36970e-05
5.07784e+02	1.64638e-02	7.35273e-02	0.27429	2.88288	4.36970e-05
5.31077e+02	1.64772e-02	7.18892e-02	5.73572	3.03337	4.36970e-05
5.54369e+02	1.64793e-02	8.09780e-02	4.63336	3.42994	4.36970e-05
5.77662e+02	1.64706e-02	7.05517e-02	3.58496	3.80735	4.36970e-05
6.00955e+02	1.64818e-02	7.63269e-02	2.77370	3.97513	4.36970e-05
6.24248e+02	1.64678e-02	7.71443e-02	1.57995	4.48111	4.36970e-05
6.47541e+02	1.64815e-02	7.00845e-02	0.74042	4.71433	4.36970e-05
6.70834e+02	1.64784e-02	8.06968e-02	6.07470	5.02680	4.36970e-05
6.94126e+02	1.64673e-02	7.23178e-02	4.94115	5.52039	4.36970e-05
7.17419e+02	1.64767e-02	7.25718e-02	4.21415	5.66513	4.36970e-05
