# t	a	e	mean_anomaly	varpi	mass/M_star
1.86343e+01	3.48124e-02	2.17602e-03	3.18512	0.43471	2.31180e-05
4.19271e+01	3.48147e-02	1.31497e-03	2.91245	5.33969	2.31180e-05
6.52199e+01	3.48089e-02	2.18785e-03	4.71382	1.89030	2.31180e-05
8.85128e+01	3.48027e-02	9.60175e-04	3.94139	1.02370	2.31180e-05
1.11806e+02	3.48113e-02	2.66313e-03	5.91042	3.68323	2.31180e-05
1.35098e+02	3.48171e-02	1.68732e-03	2.39895	5.52783	2.31180e-05
1.58391e+02	3.48239e-02	9.78457e-04	0.68499	5.57929	2.31180e-05
1.81684e+02	3.48100e-02	1.65021e-03	5.20105	5.67224	2.31180e-05
2.04977e+02	3.48007e-02	1.35264e-03	1.04264	1.73039	2.31180e-05
2.28270e+02	3.48167e-02	1.99364e-03	6.08937	1.15371	2.31180e-05
2.51563e+02	3.48185e-02	7.57974e-04	1.44707	3.88489	2.31180e-05
2.74855e+02	3.48151e-02	3.75663e-03	0.07655	3.25925	2.31180e-05
2.98148e+02	3.48259e-02	1.35173e-03	1.00941	5.27745	2.31180e-05
3.21441e+02	3.48202e-02	1.61588e-03	4.77055	4.54334	2.31180e-05
3.44734e+02	3.47996e-02	2.02789e-04	0.39300	5.55848	2.31180e-05
3.68027e+02	3.48329e-02	1.32793e-03	1.09369	1.51677	2.31180e-05
3.91320e+02	3.48140e-02	5.95270e-04	0.55168	4.98119	2.31180e-05
4.14612e+02	3.48139e-02	2.16595e-03	5.26364	3.20696	2.31180e-05
4.37905e+02	3.48145e-02	2.34943e-03	4.07108	1.04240	2.31180e-05
4.61198e+02	3.48194e-02	2.47312e-03	2.55418	5.49539	2.31180e-05
4.84491e+02	3.48077e-02	1.57110e-03	5.99200	4.99731	2.31180e-05
5.07784e+02	3.48325e-02	3.88770e-03	0.50450	0.89198	2.31180e-05
5.31077e+02	3.48075e-02	1.47071e-03	4.57719	6.09577	2.31180e-05
5.54369e+02	3.48272e-02	2.99944e-03	5.77769	1.64102	2.31180e-05
5.77662e+02	3.48155e-02	3.17313e-03	3.03096	1.14933	2.31180e-05
6.00955e+02	3.48163e-02	1.79695e-03	0.33235	0.61515	2.31180e-05
6.24248e+02	3.48170e-02	2.42490e-03	0.36898	3.61926	2.31180e-05
6.47541e+02	3.48245e-02	2.42562e-03	1.24238	5.77113	2.31180e-05
6.70834e+02	3.48008e-02	1.94170e-03	4.95925	5.10585	2.31180e-05
6.94126e+02	3.48287e-02	1.67994e-03	4.00203	2.86846	2.31180e-05
7.17419e+02	3.48119e-02	1.05832e-03	1.91329	1.78819	2.31180e-05
7.40712e+02	3.48128e-02	1.97305e-03	0.62664	6.17100	2.31180e-05
7.64005e+02	3.48202e-02	1.80858e-03	0.68373	2.93838	2.31180e-05
7.87298e+02	3.48208e-02	1.41402e-03	4.77957	1.95095	2.31180e-05
8.10591e+02	3.48150e-02	1.92871e-03	3.52607	0.02827	2.31180e-05
8.33883e+02	3.48273e-02	1.45732e-03	2.11660	4.54041	2.31180e-05
8.57176e+02	3.48090e-02	2.14816e-04	3.72040	6.03081	2.31180e-05
8.80469e+02	3.48157e-02	1.19796e-03	0.15220	0.14356	2.31180e-05
9.03762e+02	3.48194e-02	1.25858e-03	6.21804	3.49572	2.31180e-05
9.27055e+02	3.48142e-02	2.26495e-03	5.08529	1.45789	2.31180e-05
9.50348e+02	3.48125e-02	1.08500e-03	1.32300	2.04714	2.31180e-05
9.73640e+02	3.48267e-02	4.14288e-03	1.84319	4.64025	2.31180e-05
9.96933e+02	3.48094e-02	1.04698e-03	1.09616	2.23712	2.31180e-05
1.02023e+03	3.48163e-02	2.72926e-03	0.24724	6.22175	2.31180e-05
1.04352e+03	3.48268e-02	1.80382e-04	6.02359	3.57036	2.31180e-05
1.06681e+03	3.48161e-02	1.46023e-03	4.83943	1.60633	2.31180e-05
1.09010e+03	3.48072e-02	1.13676e-03	2.59716	0.68347	2.31180e-05
1.11340e+03	3.48279e-02	2.56197e-03	1.84450	4.59041	2.31180e-05
1.13669e+03	3.48086e-02	1.95059e-03	6.02993	3.56366	2.31180e-05
1.15998e+03	3.48144e-02	1.87662e-03	1.06092	5.35106	2.31180e-05
1.18328e+03	3.48151e-02	9.06765e-04	2.92061	0.31078	2.31180e-05
1.20657e+03	3.48282e-02	1.19105e-03	5.46622	0.84453	2.31180e-05
1.22986e+03	3.48153e-02	7.43818e-04	5.91521	3.49073	2.31180e-05
1.25315e+03	3.48242e-02	3.16700e-03	2.87470	3.33509	2.31180e-05
1.27645e+03	3.48124e-02	1.73878e-03	5.44394	3.86029	2.31180e-05
1.29974e+03	3.48231e-02	1.65359e-03	0.48268	5.64447	2.31180e-05
1.32303e+03	3.48017e-02	2.44637e-03	4.13030	5.10828	2.31180e-05
1.34633e+03	3.48245e-02	1.17026e-03	1.90703	4.16122	2.31180e-05
1.36962e+03	3.48093e-02	2.01727e-03	2.70108	0.19411	2.31180e-05
1.39291e+03	3.48148e-02	1.14200e-03	1.08489	4.92815	2.31180e-05
1.41620e+03	3.48161e-02	2.62165e-03	0.00037	2.84390	2.31180e-05
1.43950e+03	3.48216e-02	1.55270e-03	5.35411	0.61984	2.31180e-05
1.46279e+03	3.48217e-02	1.73664e-03	4.25288	4.86555	2.31180e-05
1.48608e+03	3.48105e-02	1.90328e-03	5.89795	0.09742	2.31180e-05
