# t	a	e	mean_anomaly	varpi	mass/M_star
3.10572e+00	4.67985e-02	3.07667e-02	5.80905	1.39415	3.47100e-05
6.98788e+00	4.68451e-02	3.06044e-02	0.34565	6.26663	3.47100e-05
1.08700e+01	4.67763e-02	2.94996e-02	1.47322	4.76626	3.47100e-05
1.47522e+01	4.67606e-02	2.99064e-02	2.93805	3.23833	3.47100e-05
1.86343e+01	4.67822e-02	2.83924e-02	4.68869	1.65927	3.47100e-05
2.25164e+01	4.67554e-02	2.86879e-02	0.48693	0.03942	3.47100e-05
2.63985e+01	4.67367e-02	2.69549e-02	2.88172	4.65277	3.47100e-05
3.02807e+01	4.67488e-02	2.71196e-02	5.56025	2.95266	3.47100e-05
3.41628e+01	4.67086e-02	2.55984e-02	2.27157	1.22709	3.47100e-05
3.80450e+01	4.67058e-02	2.64197e-02	5.63695	5.64096	3.47100e-05
4.19271e+01	4.66919e-02	2.64181e-02	2.98503	3.79707	3.47100e-05
4.58093e+01	4.66947e-02	2.44117e-02	0.67116	1.86909	3.47100e-05
4.96914e+01	4.66882e-02	2.50967e-02	4.98459	6.12917	3.47100e-05
5.35735e+01	4.66722e-02	2.46496e-02	3.22147	4.19333	3.47100e-05
5.74557e+01	4.66307e-02	2.29688e-02	1.83710	2.10361	3.47100e-05
6.13378e+01	4.66293e-02	2.38212e-02	0.83274	6.22385	3.47100e-05
6.52199e+01	4.66212e-02	2.24463e-02	0.02606	4.09593	3.47100e-05
6.91021e+01	4.66117e-02	2.28574e-02	5.88828	1.85985	3.47100e-05
7.29842e+01	4.66103e-02	2.28995e-02	5.79740	5.85224	3.47100e-05
7.68664e+01	4.65810e-02	2.17281e-02	5.96457	3.54088	3.47100e-05
8.07485e+01	4.65939e-02	2.25552e-02	0.23389	1.14034	3.47100e-05
8.46307e+01	4.65578e-02	2.02836e-02	1.06217	4.99739	3.47100e-05
8.85128e+01	4.65575e-02	2.09321e-02	2.26716	2.45287	3.47100e-05
9.23949e+01	4.65457e-02	2.03678e-02	3.71042	6.24415	3.47100e-05
9.62771e+01	4.65581e-02	1.98541e-02	5.50665	3.63310	3.47100e-05
1.00159e+02	4.65188e-02	2.10456e-02	1.39019	0.93240	3.47100e-05
1.04041e+02	4.65203e-02	1.93278e-02	3.80176	4.54527	3.47100e-05
1.07923e+02	4.65046e-02	1.99202e-02	0.30119	1.73624	3.47100e-05
1.11806e+02	4.64773e-02	1.93966e-02	3.31161	5.29623	3.47100e-05
1.15688e+02	4.65114e-02	1.78681e-02	0.58894	2.24572	3.47100e-05
1.19570e+02	4.64760e-02	1.89087e-02	4.29400	5.61624	3.47100e-05
1.23452e+02	4.64697e-02	1.80967e-02	2.10249	2.59928	3.47100e-05
1.27334e+02	4.64513e-02	1.68825e-02	0.12731	5.88616	3.47100e-05
1.31216e+02	4.64174e-02	1.78852e-02	4.83551	2.77435	3.47100e-05
1.35098e+02	4.64110e-02	1.61809e-02	3.50728	5.97267	3.47100e-05
1.38981e+02	4.64084e-02	1.69340e-02	2.75857	2.53401	3.47100e-05
1.42863e+02	4.64085e-02	1.71360e-02	2.03316	5.67045	3.47100e-05
1.46745e+02	4.64039e-02	1.63249e-02	1.70592	2.36143	3.47100e-05
1.50627e+02	4.63720e-02	1.66987e-02	1.73511	5.24797	3.47100e-05
1.54509e+02	4.63788e-02	1.62721e-02	2.15432	1.74136	3.47100e-05
1.58391e+02	4.63505e-02	1.49219e-02	2.82818	4.51071	3.47100e-05
1.62273e+02	4.63318e-02	1.58544e-02	3.71196	1.06234	3.47100e-05
1.66156e+02	4.63634e-02	1.55412e-02	5.09444	3.67921	3.47100e-05
1.70038e+02	4.63159e-02	1.58717e-02	0.42767	0.00613	3.47100e-05
1.73920e+02	4.63059e-02	1.57018e-02	2.23035	2.74217	3.47100e-05
1.77802e+02	4.63250e-02	1.50462e-02	4.60488	5.14100	3.47100e-05
1.81684e+02	4.62602e-02	1.39907e-02	0.85735	1.36297	3.47100e-05
1.85566e+02	4.62857e-02	1.50103e-02	3.64793	3.90366	3.47100e-05
1.89448e+02	4.63080e-02	1.41948e-02	0.62526	6.21263	3.47100e-05
1.93331e+02	4.62495e-02	1.47145e-02	4.03934	2.36323	3.47100e-05
1.97213e+02	4.62367e-02	1.41623e-02	1.66513	4.58058	3.47100e-05
2.01095e+02	4.62198e-02	1.43315e-02	5.90733	0.41034	3.47100e-05
2.04977e+02	4.62080e-02	1.42450e-02	3.85714	2.84693	3.47100e-05
2.08859e+02	4.62221e-02	1.48898e-02	2.52679	4.79491	3.47100e-05
2.12741e+02	4.62030e-02	1.37900e-02	1.33014	0.60027	3.47100e-05
2.16623e+02	4.62129e-02	1.29639e-02	0.35879	2.74479	3.47100e-05
