# t	a	e	mean_anomaly	varpi	mass/M_star
1.24228e+02	1.21582e-02	3.13956e-03	3.23985	0.11763	4.59020e-05
2.79514e+02	1.21573e-02	2.75079e-03	6.07886	3.85430	4.59020e-05
4.34800e+02	1.21585e-02	2.43655e-03	1.69419	3.46027	4.59020e-05
5.90085e+02	1.21588e-02	4.41872e-03	3.24454	1.38701	4.59020e-05
7.45371e+02	1.21574e-02	3.44541e-03	5.68209	6.03754	4.59020e-05
9.00656e+02	1.21574e-02	3.05965e-03	4.23407	3.27526	4.59020e-05
1.05594e+03	1.21587e-02	8.73876e-04	0.04725	2.82943	4.59020e-05
1.21123e+03	1.21586e-02	4.82156e-03	3.42400	0.43631	4.59020e-05
1.36651e+03	1.21577e-02	4.82374e-03	2.03394	3.82693	4.59020e-05
1.52180e+03	1.21577e-02	2.37655e-03	5.78589	2.21343	4.59020e-05
1.67708e+03	1.21583e-02	2.29482e-03	4.32050	5.70850	4.59020e-05
1.83237e+03	1.21595e-02	3.10278e-03	1.14584	4.90264	4.59020e-05
1.98766e+03	1.21589e-02	2.51422e-03	0.08626	2.44665	4.59020e-05
2.14294e+03	1.21587e-02	4.55831e-03	5.05989	6.25921	4.59020e-05
2.29823e+03	1.21579e-02	1.41030e-03	2.88933	4.38752	4.59020e-05
2.45351e+03	1.21570e-02	1.44041e-03	1.53033	2.11931	4.59020e-05
2.60880e+03	1.21577e-02	4.54614e-03	5.80005	0.65943	4.59020e-05
2.76408e+03	1.21577e-02	2.61349e-03	4.10781	4.87021	4.59020e-05
2.91937e+03	1.21581e-02	3.79435e-03	4.54035	1.80070	4.59020e-05
3.07465e+03	1.21583e-02	1.42857e-03	2.93192	0.58450	4.59020e-05
3.22994e+03	1.21584e-02	5.35697e-03	6.16637	6.22794	4.59020e-05
3.38523e+03	1.21576e-02	4.23753e-03	1.02882	4.46416	4.59020e-05
3.54051e+03	1.21589e-02	2.93743e-03	0.92575	2.59126	4.59020e-05
3.69580e+03	1.21577e-02	4.21238e-03	5.78065	2.29594	4.59020e-05
3.85108e+03	1.21584e-02	5.65105e-03	5.34437	0.31406	4.59020e-05
4.00637e+03	1.21584e-02	2.33248e-03	4.54229	4.10864	4.59020e-05
4.16165e+03	1.21588e-02	3.75119e-03	6.05634	4.47737	4.59020e-05
4.31694e+03	1.21584e-02	5.55273e-03	3.14722	2.49803	4.59020e-05
4.47222e+03	1.21588e-02	3.60579e-03	1.15785	0.12475	4.59020e-05
4.62751e+03	1.21583e-02	3.20594e-03	3.37551	0.42584	4.59020e-05
4.78280e+03	1.21583e-02	6.48206e-03	2.43346	4.50260	4.59020e-05
4.93808e+03	1.21581e-02	2.73761e-03	3.25441	2.64968	4.59020e-05
5.09337e+03	1.21578e-02	2.75599e-03	2.46127	2.75069	4.59020e-05
5.24865e+03	1.21585e-02	5.36650e-03	2.70694	0.80018	4.59020e-05
5.40394e+03	1.21587e-02	4.69506e-03	1.50158	5.16610	4.59020e-05
5.55922e+03	1.21591e-02	2.17202e-03	0.24785	4.00955	4.59020e-05
5.71451e+03	1.21578e-02	3.71858e-03	4.77980	3.11847	4.59020e-05
5.86979e+03	1.21581e-02	4.58631e-03	2.35215	1.53531	4.59020e-05
6.02508e+03	1.21573e-02	4.79569e-03	4.55575	0.34054	4.59020e-05
6.18037e+03	1.21593e-02	5.93584e-03	2.18355	5.09383	4.59020e-05
6.33565e+03	1.21576e-02	3.11339e-03	1.94448	3.56828	4.59020e-05
6.49094e+03	1.21582e-02	3.96400e-03	0.85879	2.04633	4.59020e-05
6.64622e+03	1.21584e-02	2.88889e-03	0.52579	1.77915	4.59020e-05
6.80151e+03	1.21592e-02	3.63564e-03	3.74885	0.04618	4.59020e-05
6.95679e+03	1.21589e-02	9.56405e-04	2.63779	2.57716	4.59020e-05
7.11208e+03	1.21606e-02	3.50011e-03	1.32848	5.08948	4.59020e-05
7.26736e+03	1.21584e-02	5.20090e-03	5.66391	2.31241	4.59020e-05
7.42265e+03	1.21577e-02	3.61420e-03	4.37590	4.90378	4.59020e-05
7.57794e+03	1.21585e-02	4.32767e-03	5.33208	0.10741	4.59020e-05
7.73322e+03	1.21579e-02	4.95621e-03	4.60404	2.89712	4.59020e-05
7.88851e+03	1.21598e-02	2.54179e-03	4.86812	5.81199	4.59020e-05
8.04379e+03	1.21576e-02	3.71361e-03	4.35652	2.67562	4.59020e-05
8.19908e+03	1.21583e-02	5.67452e-03	3.61474	5.76053	4.59020e-05
8.35436e+03	1.21581e-02	2.92351e-03	2.61781	2.57492	4.59020e-05
8.50965e+03	1.21586e-02	3.32130e-03	4.56973	4.85470	4.59020e-05
8.66493e+03	1.21578e-02	4.34124e-03	3.57180	2.02991	4.59020e-05
8.82022e+03	1.21578e-02	5.10395e-03	3.39857	5.30663	4.59020e-05
8.97551e+03	1.21579e-02	4.15640e-03	2.70158	1.33789	4.59020e-05
9.13079e+03	1.21589e-02	4.82274e-03	4.09469	4.29890	4.59020e-05
9.28608e+03	1.21597e-02	5.11959e-03	2.39661	1.46882	4.59020e-05
9.44136e+03	1.21594e-02	2.16297e-03	0.61873	4.64217	4.59020e-05
9.59665e+03	1.21602e-02	1.12486e-03	3.87464	1.16209	4.59020e-05
