# t	a	e	mean_anomaly	varpi	mass/M_star
1.24228e+02	4.68159e-02	3.04256e-02	0.18921	5.34152	3.47100e-05
2.79514e+02	4.67917e-02	2.87260e-02	4.73361	1.53650	3.47100e-05
4.34800e+02	4.67518e-02	2.73060e-02	2.96860	0.36040	3.47100e-05
5.90085e+02	4.67479e-02	2.72686e-02	0.71082	1.79024	3.47100e-05
7.45371e+02	4.67226e-02	2.58554e-02	4.81452	5.62149	3.47100e-05
9.00656e+02	4.66909e-02	2.53615e-02	2.74041	5.51910	3.47100e-05
1.05594e+03	4.67022e-02	2.47002e-02	0.92265	1.22099	3.47100e-05
1.21123e+03	4.66374e-02	2.28586e-02	5.94578	5.15093	3.47100e-05
1.36651e+03	4.66504e-02	2.19512e-02	5.16068	4.84334	3.47100e-05
1.52180e+03	4.65833e-02	2.14535e-02	4.77950	0.19086	3.47100e-05
1.67708e+03	4.65831e-02	2.05383e-02	4.90641	3.66178	3.47100e-05
1.83237e+03	4.65441e-02	2.12848e-02	5.47406	2.83425	3.47100e-05
1.98766e+03	4.65554e-02	1.90830e-02	0.35344	3.81631	3.47100e-05
2.14294e+03	4.65019e-02	1.86427e-02	2.14492	0.31597	3.47100e-05
2.29823e+03	4.65034e-02	1.89020e-02	4.92642	4.63710	3.47100e-05
2.45351e+03	4.64620e-02	1.75042e-02	2.25342	4.35847	3.47100e-05
2.60880e+03	4.64210e-02	1.72322e-02	0.10960	5.94512	3.47100e-05
2.76408e+03	4.64186e-02	1.73070e-02	4.76036	3.13843	3.47100e-05
2.91937e+03	4.64099e-02	1.70617e-02	3.57420	2.40038	3.47100e-05
3.07465e+03	4.63659e-02	1.53294e-02	2.90295	3.70407	3.47100e-05
3.22994e+03	4.63705e-02	1.49109e-02	2.95369	0.36174	3.47100e-05
3.38523e+03	4.63421e-02	1.45128e-02	3.34708	5.39083	3.47100e-05
3.54051e+03	4.63128e-02	1.38742e-02	4.07345	6.25291	3.47100e-05
3.69580e+03	4.62916e-02	1.57080e-02	5.18722	2.97454	3.47100e-05
3.85108e+03	4.62789e-02	1.76891e-02	6.12857	2.29620	3.47100e-05
4.00637e+03	4.62474e-02	1.47816e-02	0.79856	4.06629	3.47100e-05
4.16165e+03	4.62311e-02	1.55146e-02	1.62668	2.16250	3.47100e-05
4.31694e+03	4.61890e-02	1.72544e-02	2.23254	2.96761	3.47100e-05
4.47222e+03	4.61632e-02	1.16972e-02	2.61482	0.24896	3.47100e-05
4.62751e+03	4.61491e-02	1.39607e-02	2.37997	0.57331	3.47100e-05
4.78280e+03	4.61436e-02	1.35198e-02	1.19241	4.36100	3.47100e-05
4.93808e+03	4.61237e-02	1.23977e-02	6.26912	4.38086	3.47100e-05
5.09337e+03	4.60878e-02	1.56777e-02	3.88807	1.75570	3.47100e-05
5.24865e+03	4.60709e-02	1.34899e-02	0.80179	2.34529	3.47100e-05
5.40394e+03	4.60574e-02	1.50680e-02	4.06552	5.56160	3.47100e-05
5.55922e+03	4.60462e-02	9.73440e-03	0.15206	6.07785	3.47100e-05
5.71451e+03	4.59816e-02	1.29782e-02	1.97683	3.72824	3.47100e-05
5.86979e+03	4.59773e-02	1.00283e-02	3.58507	4.06160	3.47100e-05
6.02508e+03	4.59622e-02	6.36529e-03	4.44471	1.81766	3.47100e-05
6.18037e+03	4.59365e-02	8.64035e-03	3.06817	5.01388	3.47100e-05
6.33565e+03	4.57799e-02	7.97120e-03	5.74326	6.22772	3.47100e-05
6.49094e+03	4.59132e-02	3.17459e-03	5.63946	5.50376	3.47100e-05
6.64622e+03	4.58341e-02	1.43238e-02	4.74500	0.41877	3.47100e-05
6.80151e+03	4.57970e-02	2.01380e-02	1.72033	1.60082	3.47100e-05
6.95679e+03	4.57111e-02	1.00887e-02	4.52029	4.53771	3.47100e-05
7.11208e+03	4.58303e-02	8.05955e-03	0.97917	4.47603	3.47100e-05
7.26736e+03	4.57838e-02	2.14326e-02	1.40688	6.18238	3.47100e-05
7.42265e+03	4.57054e-02	1.89467e-02	5.37831	1.05927	3.47100e-05
7.57794e+03	4.57265e-02	1.38578e-02	1.14079	0.65317	3.47100e-05
7.73322e+03	4.57446e-02	6.36625e-03	6.00161	5.95625	3.47100e-05
7.88851e+03	4.57300e-02	1.45075e-02	0.42909	5.04861	3.47100e-05
8.04379e+03	4.56757e-02	2.19232e-02	0.60636	0.08767	3.47100e-05
8.19908e+03	4.56813e-02	4.88875e-03	4.92394	6.10884	3.47100e-05
8.35436e+03	4.56709e-02	1.13405e-02	1.98499	1.62207	3.47100e-05
8.50965e+03	4.56636e-02	1.62795e-02	4.46388	0.26162	3.47100e-05
8.66493e+03	4.56283e-02	2.82879e-02	5.33160	2.80967	3.47100e-05
8.82022e+03	4.55962e-02	2.50724e-02	4.69087	3.09087	3.47100e-05
8.97551e+03	4.55982e-02	9.08544e-03	1.48144	1.44845	3.47100e-05
9.13079e+03	4.55276e-02	1.51763e-02	5.48788	1.35426	3.47100e-05
9.28608e+03	4.55886e-02	2.52941e-02	0.63187	0.42656	3.47100e-05
9.44136e+03	4.55536e-02	1.80031e-02	0.42019	4.30574	3.47100e-05
9.59665e+03	4.55231e-02	1.92931e-02	2.82978	1.87928	3.47100e-05
9.75193e+03	4.55208e-02	3.07795e-02	3.86882	4.10631	3.47100e-05
9.90722e+03	4.54789e-02	2.47855e-02	1.11487	6.01864	3.47100e-05
1.00625e+04	4.54361e-02	3.34890e-02	0.79885	6.17474	3.47100e-05
1.02178e+04	4.54926e-02	2.01721e-02	1.25742	4.57738	3.47100e-05
1.03731e+04	4.54728e-02	2.37906e-02	6.19402	0.41553	3.47100e-05
1.05284e+04	4.54069e-02	2.31066e-02	4.30566	1.12560	3.47100e-05
1.06836e+04	4.53743e-02	3.11810e-02	2.40068	4.37505	3.47100e-05
1.08389e+04	4.54231e-02	2.71638e-02	1.55025	0.63301	3.47100e-05
1.09942e+04	4.53689e-02	2.68530e-02	2.07634	5.60221	3.47100e-05
1.11495e+04	4.53712e-02	3.10074e-02	3.57143	6.10887	3.47100e-05
1.13048e+04	4.54258e-02	3.57773e-02	5.31009	1.63785	3.47100e-05
1.14601e+04	4.53424e-02	4.02516e-02	1.18350	4.67167	3.47100e-05
1.16154e+04	4.54211e-02	4.14049e-02	0.40634	2.01392	3.47100e-05
1.17706e+04	4.53973e-02	4.48470e-02	3.07984	6.06787	3.47100e-05
1.19259e+04	4.53480e-02	4.38592e-02	5.74772	2.39259	3.47100e-05
1.20812e+04	4.53170e-02	4.73688e-02	3.42778	3.08568	3.47100e-05
1.22365e+04	4.54003e-02	4.53997e-02	4.42999	0.40671	3.47100e-05
1.23918e+04	4.53530e-02	5.18950e-02	3.28694	0.73019	3.47100e-05
1.25471e+04	4.53148e-02	5.26316e-02	1.32609	5.42821	3.47100e-05
1.27024e+04	4.53781e-02	5.27796e-02	3.11865	4.61288	3.47100e-05
1.28576e+04	4.52659e-02	5.33880e-02	5.18457	3.15541	3.47100e-05
1.30129e+04	4.53312e-02	5.05546e-02	3.90545	0.72656	3.47100e-05
1.31682e+04	4.52552e-02	4.80751e-02	2.58713	3.50521	3.47100e-05
1.33235e+04	4.52306e-02	5.54670e-02	5.84765	2.33353	3.47100e-05
1.34788e+04	4.52604e-02	5.33282e-02	1.65996	1.02803	3.47100e-05
1.36341e+04	4.51778e-02	5.26097e-02	4.84881	4.42465	3.47100e-05
1.37894e+04	4.52251e-02	5.85764e-02	4.20116	1.00765	3.47100e-05
1.39446e+04	4.51605e-02	5.51078e-02	4.01584	3.82457	3.47100e-05
1.40999e+04	4.52303e-02	5.71188e-02	3.75477	5.40981	3.47100e-05
1.42552e+04	4.52117e-02	4.88064e-02	3.95137	5.20124	3.47100e-05
1.44105e+04	4.51495e-02	4.50982e-02	5.02017	5.03071	3.47100e-05
