# t	a	e	mean_anomaly	varpi	mass/M_star
6.21144e+00	1.66417e-02	6.45360e-04	1.71582	1.89066	4.36970e-05
1.39757e+01	1.66411e-02	4.80115e-03	4.15757	6.13413	4.36970e-05
2.17400e+01	1.66360e-02	4.62537e-03	5.40347	5.41515	4.36970e-05
2.95043e+01	1.66360e-02	5.65127e-03	1.54559	3.57107	4.36970e-05
3.72685e+01	1.66393e-02	5.42827e-03	2.44249	3.13258	4.36970e-05
4.50328e+01	1.66415e-02	1.02142e-03	5.54215	0.61697	4.36970e-05
5.27971e+01	1.66419e-02	6.47710e-03	0.66026	6.22724	4.36970e-05
6.05614e+01	1.66428e-02	6.79758e-03	1.75007	5.93653	4.36970e-05
6.83257e+01	1.66398e-02	3.70454e-03	3.91549	4.54962	4.36970e-05
7.60899e+01	1.66356e-02	6.56369e-03	5.67243	3.55729	4.36970e-05
8.38542e+01	1.66408e-02	3.05684e-03	0.57045	3.08569	4.36970e-05
9.16185e+01	1.66424e-02	4.15526e-03	4.08760	0.14945	4.36970e-05
9.93828e+01	1.66380e-02	6.55916e-03	4.83305	6.14899	4.36970e-05
1.07147e+02	1.66352e-02	3.09151e-03	0.32610	4.99574	4.36970e-05
1.14911e+02	1.66349e-02	6.23466e-03	2.62226	3.43653	4.36970e-05
1.22676e+02	1.66350e-02	4.75649e-03	3.90570	2.95697	4.36970e-05
1.30440e+02	1.66358e-02	3.08821e-03	0.45334	0.91357	4.36970e-05
1.38204e+02	1.66368e-02	6.90641e-03	1.84080	0.30641	4.36970e-05
1.45968e+02	1.66410e-02	4.36344e-03	2.82232	6.27493	4.36970e-05
1.53733e+02	1.66431e-02	2.66115e-03	5.99499	3.68327	4.36970e-05
1.61497e+02	1.66372e-02	5.60464e-03	0.78187	3.14777	4.36970e-05
1.69261e+02	1.66395e-02	3.34283e-03	3.06671	1.60167	4.36970e-05
1.77026e+02	1.66403e-02	7.72209e-03	4.94031	0.50004	4.36970e-05
1.84790e+02	1.66410e-02	6.79145e-03	5.96128	0.28750	4.36970e-05
1.92554e+02	1.66399e-02	1.52066e-03	1.29578	5.74839	4.36970e-05
2.00318e+02	1.66403e-02	4.63614e-03	4.14571	3.67031	4.36970e-05
2.08083e+02	1.66386e-02	3.73249e-03	5.26426	3.19459	4.36970e-05
2.15847e+02	1.66371e-02	3.56997e-03	1.61206	1.10253	4.36970e-05
