# t	a	e	mean_anomaly	varpi	mass/M_star
6.21144e+00	3.48148e-02	2.15191e-03	1.56109	0.42522	2.31180e-05
1.39757e+01	3.48148e-02	5.42562e-04	2.84124	0.15905	2.31180e-05
2.17400e+01	3.48158e-02	2.18184e-03	3.35911	0.66183	2.31180e-05
2.95043e+01	3.48174e-02	2.32368e-03	4.56967	0.46626	2.31180e-05
3.72685e+01	3.48158e-02	1.79983e-03	5.36751	0.68660	2.31180e-05
4.50328e+01	3.48164e-02	1.43290e-03	4.70119	2.35306	2.31180e-05
5.27971e+01	3.48142e-02	3.10974e-03	6.22341	1.82452	2.31180e-05
6.05614e+01	3.48134e-02	2.76292e-03	0.91282	1.84656	2.31180e-05
6.83257e+01	3.48152e-02	2.08551e-03	1.48804	2.25919	2.31180e-05
7.60899e+01	3.48225e-02	3.66509e-03	1.62738	3.11496	2.31180e-05
8.38542e+01	3.48263e-02	1.22418e-03	2.02620	3.70600	2.31180e-05
9.16185e+01	3.48201e-02	3.59851e-03	4.42250	2.30368	2.31180e-05
9.93828e+01	3.48142e-02	2.62186e-03	3.47699	4.24222	2.31180e-05
1.07147e+02	3.48174e-02	2.36977e-03	4.86737	3.84198	2.31180e-05
1.14911e+02	3.48140e-02	1.83337e-03	0.30806	3.11258	2.31180e-05
1.22676e+02	3.48217e-02	1.82556e-03	0.40824	4.00367	2.31180e-05
1.30440e+02	3.48172e-02	1.22536e-03	5.97649	5.72288	2.31180e-05
1.38204e+02	3.48168e-02	6.52601e-04	1.51039	4.90257	2.31180e-05
1.45968e+02	3.48127e-02	2.18352e-03	3.18467	4.22653	2.31180e-05
1.53733e+02	3.48134e-02	4.24639e-03	2.97895	5.42974	2.31180e-05
1.61497e+02	3.48204e-02	1.40009e-03	3.90789	5.49895	2.31180e-05
1.69261e+02	3.48209e-02	2.46466e-03	4.91539	5.50588	2.31180e-05
1.77026e+02	3.48231e-02	2.73443e-03	6.15476	5.26636	2.31180e-05
1.84790e+02	3.48156e-02	1.55184e-03	5.76193	0.37659	2.31180e-05
1.92554e+02	3.48188e-02	2.62918e-03	0.54004	0.31495	2.31180e-05
2.00318e+02	3.48133e-02	2.01487e-03	1.19284	0.66401	2.31180e-05
2.08083e+02	3.48184e-02	2.23185e-03	1.84631	1.01639	2.31180e-05
2.15847e+02	3.48141e-02	2.27020e-03	2.68902	1.18776	2.31180e-05
2.23611e+02	3.48194e-02	3.27862e-03	2.59363	2.28232	2.31180e-05
2.31375e+02	3.48243e-02	1.90349e-03	3.92366	1.95649	2.31180e-05
2.39140e+02	3.48224e-02	2.17156e-03	3.52750	3.36203	2.31180e-05
2.46904e+02	3.48142e-02	3.35082e-03	5.51630	2.37852	2.31180e-05
2.54668e+02	3.48210e-02	2.02182e-03	6.25051	2.65942	2.31180e-05
2.62433e+02	3.48182e-02	2.13697e-03	0.76758	2.87392	2.31180e-05
2.70197e+02	3.48178e-02	3.29824e-03	1.36832	3.27578	2.31180e-05
2.77961e+02	3.48284e-02	3.82874e-03	1.35993	4.26512	2.31180e-05
2.85725e+02	3.48216e-02	1.58072e-03	2.87224	3.73566	2.31180e-05
2.93490e+02	3.48161e-02	4.22809e-03	3.27479	4.29320	2.31180e-05
3.01254e+02	3.48162e-02	1.83633e-03	3.62831	4.87783	2.31180e-05
3.09018e+02	3.48231e-02	1.55554e-03	4.61105	4.79598	2.31180e-05
3.16783e+02	3.48279e-02	1.81830e-03	4.70031	5.60130	2.31180e-05
3.24547e+02	3.48258e-02	2.07399e-03	5.68349	5.53194	2.31180e-05
3.32311e+02	3.48162e-02	3.47869e-03	0.15032	5.70033	2.31180e-05
3.40075e+02	3.48076e-02	3.22937e-03	5.93481	0.82760	2.31180e-05
3.47840e+02	3.48176e-02	1.89279e-03	0.59358	0.80758	2.31180e-05
3.55604e+02	3.48120e-02	2.93252e-03	1.77845	0.53395	2.31180e-05
3.63368e+02	3.48281e-02	2.16504e-03	0.42369	2.81240	2.31180e-05
3.71132e+02	3.48272e-02	4.45482e-03	2.63055	1.52420	2.31180e-05
3.78897e+02	3.48259e-02	3.61994e-03	4.36638	0.71115	2.31180e-05
3.86661e+02	3.48211e-02	2.42602e-03	5.04456	0.95481	2.31180e-05
3.94425e+02	3.48175e-02	1.48034e-03	4.14658	2.77645	2.31180e-05
4.02190e+02	3.48198e-02	3.12033e-03	6.13673	1.70768	2.31180e-05
4.09954e+02	3.48120e-02	1.58276e-03	5.75068	3.02487	2.31180e-05
4.17718e+02	3.48039e-02	9.73578e-04	4.35261	5.34555	2.31180e-05
4.25482e+02	3.48200e-02	4.22142e-03	1.03558	3.31318	2.31180e-05
4.33247e+02	3.48218e-02	7.13832e-04	5.37716	6.18327	2.31180e-05
4.41011e+02	3.48233e-02	3.17790e-03	0.93218	5.27040	2.31180e-05
4.48775e+02	3.48277e-02	1.89551e-03	1.78200	5.35299	2.31180e-05
4.56540e+02	3.48242e-02	4.03489e-03	3.32587	4.74942	2.31180e-05
4.64304e+02	3.48288e-02	2.64436e-03	3.14749	5.85673	2.31180e-05
4.72068e+02	3.48281e-02	3.56560e-03	3.28434	0.38347	2.31180e-05
4.79832e+02	3.48192e-02	9.82919e-04	2.81211	1.78984	2.31180e-05
4.87597e+02	3.48191e-02	3.61009e-03	5.65938	6.17146	2.31180e-05
4.95361e+02	3.48148e-02	1.22454e-03	4.33949	2.13868	2.31180e-05
5.03125e+02	3.48162e-02	4.69297e-03	5.62354	1.78813	2.31180e-05
5.10889e+02	3.48095e-02	3.49979e-03	0.21312	1.84812	2.31180e-05
5.18654e+02	3.48077e-02	3.53555e-03	1.89634	1.12327	2.31180e-05
5.26418e+02	3.48119e-02	3.20338e-03	1.55159	2.38997	2.31180e-05
5.34182e+02	3.48230e-02	5.16120e-03	1.78703	3.13202	2.31180e-05
5.41947e+02	3.48233e-02	3.71295e-03	1.21374	4.65403	2.31180e-05
5.49711e+02	3.48193e-02	3.62387e-03	5.02290	1.85578	2.31180e-05
5.57475e+02	3.48164e-02	4.67148e-03	2.68898	5.20925	2.31180e-05
5.65239e+02	3.48088e-02	4.48053e-03	4.56861	4.29657	2.31180e-05
5.73004e+02	3.48185e-02	7.67665e-04	3.92420	5.98926	2.31180e-05
5.80768e+02	3.48124e-02	2.57894e-03	2.16469	2.44983	2.31180e-05
5.88532e+02	3.48131e-02	2.21890e-03	4.48852	1.14240	2.31180e-05
5.96297e+02	3.48358e-02	1.89374e-03	0.11149	0.22664	2.31180e-05
6.04061e+02	3.48301e-02	2.06454e-03	0.45527	0.85904	2.31180e-05
6.11825e+02	3.48276e-02	2.27411e-03	1.58659	0.68040	2.31180e-05
6.19589e+02	3.48149e-02	3.94627e-03	3.59033	5.60156	2.31180e-05
6.27354e+02	3.48318e-02	8.39596e-04	4.01923	5.72987	2.31180e-05
6.35118e+02	3.48392e-02	7.15562e-03	0.93095	3.23571	2.31180e-05
6.42882e+02	3.48205e-02	4.06634e-03	2.01786	2.68349	2.31180e-05
6.50646e+02	3.48668e-02	7.93965e-03	1.02864	2.98581	2.31180e-05
6.58411e+02	3.48747e-02	1.13967e-02	5.12923	1.81010	2.31180e-05
6.66175e+02	3.48449e-02	2.13333e-02	5.72780	4.35172	2.31180e-05
6.73939e+02	3.48385e-02	1.34343e-02	3.07817	5.82345	2.31180e-05
6.81704e+02	3.48600e-02	7.17660e-03	1.61068	0.44625	2.31180e-05
6.89468e+02	3.48195e-02	1.95948e-02	0.35845	1.31547	2.31180e-05
6.97232e+02	3.48719e-02	6.12254e-03	3.74997	3.38966	2.31180e-05
