# t	a	e	mean_anomaly	varpi	mass/M_star
6.21144e+00	2.33915e-02	2.06102e-02	4.86326	4.70774	1.29620e-05
1.39757e+01	2.33897e-02	1.90945e-02	2.31677	3.40867	1.29620e-05
2.17400e+01	2.34008e-02	2.44686e-02	5.82986	2.05665	1.29620e-05
2.95043e+01	2.33977e-02	2.08245e-02	2.84613	0.67470	1.29620e-05
3.72685e+01	2.33909e-02	1.86029e-02	0.48436	5.39454	1.29620e-05
4.50328e+01	2.33891e-02	2.47557e-02	4.03028	4.09280	1.29620e-05
5.27971e+01	2.33940e-02	2.25082e-02	1.03928	2.63877	1.29620e-05
6.05614e+01	2.33819e-02	1.88786e-02	4.80190	1.12995	1.29620e-05
6.83257e+01	2.33899e-02	2.14425e-02	2.20281	5.98465	1.29620e-05
7.60899e+01	2.33921e-02	2.38060e-02	5.55702	4.48472	1.29620e-05
8.38542e+01	2.33905e-02	1.90517e-02	2.78167	3.14849	1.29620e-05
9.16185e+01	2.33993e-02	1.99612e-02	0.39676	1.63429	1.29620e-05
9.93828e+01	2.34027e-02	2.62050e-02	3.81665	0.18364	1.29620e-05
1.07147e+02	2.33927e-02	2.07645e-02	0.89972	5.12800	1.29620e-05
1.14911e+02	2.33928e-02	1.94991e-02	4.79943	3.65800	1.29620e-05
1.22676e+02	2.34011e-02	2.32066e-02	1.98019	2.35044	1.29620e-05
1.30440e+02	2.33888e-02	2.20056e-02	5.45596	0.92924	1.29620e-05
1.38204e+02	2.33880e-02	2.21768e-02	2.81663	5.81665	1.29620e-05
1.45968e+02	2.33986e-02	2.24140e-02	0.06273	4.46017	1.29620e-05
1.53733e+02	2.33908e-02	2.20531e-02	3.62349	2.91209	1.29620e-05
1.61497e+02	2.33885e-02	2.08046e-02	0.89922	1.57765	1.29620e-05
1.69261e+02	2.33958e-02	2.29629e-02	4.66127	0.12654	1.29620e-05
1.77026e+02	2.33993e-02	2.37535e-02	1.67704	4.99201	1.29620e-05
1.84790e+02	2.33867e-02	1.70169e-02	5.30953	3.52081	1.29620e-05
1.92554e+02	2.33993e-02	2.23201e-02	2.94635	1.97787	1.29620e-05
2.00318e+02	2.34088e-02	2.57778e-02	6.16550	0.62970	1.29620e-05
2.08083e+02	2.33903e-02	1.81833e-02	3.44576	5.46155	1.29620e-05
2.15847e+02	2.33906e-02	2.00365e-02	0.97494	4.03849	1.29620e-05
2.23611e+02	2.34015e-02	2.36577e-02	4.48006	2.64488	1.29620e-05
2.31375e+02	2.33888e-02	2.23162e-02	1.54095	1.25487	1.29620e-05
2.39140e+02	2.33776e-02	1.74775e-02	5.18527	6.22323	1.29620e-05
2.46904e+02	2.33974e-02	2.13964e-02	2.77008	4.68665	1.29620e-05
2.54668e+02	2.34047e-02	2.58141e-02	6.04932	3.32352	1.29620e-05
2.62433e+02	2.33849e-02	1.92588e-02	3.26600	2.03079	1.29620e-05
2.70197e+02	2.33971e-02	2.05139e-02	0.82682	0.61321	1.29620e-05
2.77961e+02	2.34048e-02	2.23731e-02	4.35056	5.46564	1.29620e-05
2.85725e+02	2.33930e-02	2.16511e-02	1.57534	3.87978	1.29620e-05
2.93490e+02	2.33913e-02	2.18661e-02	5.24132	2.50123	1.29620e-05
3.01254e+02	2.34030e-02	2.19481e-02	2.54091	1.01472	1.29620e-05
3.09018e+02	2.33947e-02	2.17402e-02	6.17189	5.69917	1.29620e-05
3.16783e+02	2.33914e-02	2.32055e-02	3.57118	4.16358	1.29620e-05
3.24547e+02	2.33931e-02	2.39659e-02	0.74915	2.58208	1.29620e-05
3.32311e+02	2.33856e-02	1.95355e-02	4.39363	1.11717	1.29620e-05
3.40075e+02	2.33956e-02	2.36546e-02	1.81505	5.62234	1.29620e-05
3.47840e+02	2.33805e-02	2.10871e-02	5.26266	4.16639	1.29620e-05
3.55604e+02	2.33936e-02	2.21688e-02	2.85677	2.57599	1.29620e-05
3.63368e+02	2.33981e-02	2.38129e-02	6.16538	1.06361	1.29620e-05
3.71132e+02	2.33805e-02	1.77881e-02	3.67794	5.80055	1.29620e-05
3.78897e+02	2.34024e-02	2.50305e-02	1.10987	4.34063	1.29620e-05
3.86661e+02	2.33977e-02	2.37802e-02	4.34669	2.96820	1.29620e-05
3.94425e+02	2.33869e-02	1.76829e-02	1.88470	1.51896	1.29620e-05
4.02190e+02	2.33932e-02	2.18488e-02	5.60403	0.17771	1.29620e-05
4.09954e+02	2.34059e-02	2.30383e-02	2.79195	5.11736	1.29620e-05
4.17718e+02	2.33969e-02	2.24333e-02	0.06221	3.65488	1.29620e-05
4.25482e+02	2.33893e-02	2.16350e-02	3.71851	2.22477	1.29620e-05
4.33247e+02	2.33967e-02	2.34332e-02	1.00384	0.57258	1.29620e-05
4.41011e+02	2.33845e-02	2.14940e-02	4.53625	5.46471	1.29620e-05
4.48775e+02	2.33958e-02	2.30907e-02	1.94279	3.84319	1.29620e-05
4.56540e+02	2.33834e-02	2.06940e-02	5.40823	2.25634	1.29620e-05
4.64304e+02	2.33918e-02	2.07325e-02	3.02993	0.61554	1.29620e-05
4.72068e+02	2.33987e-02	2.57882e-02	0.06702	5.38383	1.29620e-05
4.79832e+02	2.33811e-02	1.80310e-02	3.64787	3.94837	1.29620e-05
4.87597e+02	2.33985e-02	2.28896e-02	1.29426	2.31203	1.29620e-05
4.95361e+02	2.33985e-02	2.49122e-02	4.56702	0.90426	1.29620e-05
5.03125e+02	2.33864e-02	1.84496e-02	1.99665	5.80662	1.29620e-05
5.10889e+02	2.33941e-02	2.21050e-02	5.73527	4.39714	1.29620e-05
5.18654e+02	2.34046e-02	2.18079e-02	2.93621	2.87317	1.29620e-05
5.26418e+02	2.33975e-02	2.28600e-02	0.37927	1.30606	1.29620e-05
5.34182e+02	2.33995e-02	2.42616e-02	3.87638	6.20609	1.29620e-05
5.41947e+02	2.33946e-02	2.12485e-02	1.14583	4.65153	1.29620e-05
5.49711e+02	2.33908e-02	2.17658e-02	4.87265	3.15769	1.29620e-05
5.57475e+02	2.33994e-02	2.36039e-02	2.05766	1.59854	1.29620e-05
5.65239e+02	2.33817e-02	2.07480e-02	5.58071	0.14732	1.29620e-05
5.73004e+02	2.33921e-02	2.03697e-02	3.12783	4.92913	1.29620e-05
5.80768e+02	2.33995e-02	2.41010e-02	0.26910	3.33183	1.29620e-05
5.88532e+02	2.33808e-02	1.98215e-02	3.80989	1.95216	1.29620e-05
5.96297e+02	2.33959e-02	2.26010e-02	1.37231	0.43557	1.29620e-05
6.04061e+02	2.34002e-02	2.43801e-02	4.66265	5.28556	1.29620e-05
6.11825e+02	2.33862e-02	1.74658e-02	2.03355	3.89667	1.29620e-05
6.19589e+02	2.33940e-02	2.29861e-02	5.84152	2.43273	1.29620e-05
6.27354e+02	2.34064e-02	2.34605e-02	2.83362	1.03839	1.29620e-05
6.35118e+02	2.33959e-02	1.90947e-02	0.27105	5.78578	1.29620e-05
6.42882e+02	2.33933e-02	2.25148e-02	3.95358	4.40875	1.29620e-05
6.50646e+02	2.34036e-02	2.39250e-02	1.09679	2.99262	1.29620e-05
6.58411e+02	2.33884e-02	2.19261e-02	4.66746	1.51945	1.29620e-05
6.66175e+02	2.33939e-02	2.13519e-02	2.04926	0.04090	1.29620e-05
6.73939e+02	2.33910e-02	2.27660e-02	5.56049	4.80112	1.29620e-05
6.81704e+02	2.33863e-02	2.12648e-02	2.84028	3.44225	1.29620e-05
6.89468e+02	2.34008e-02	2.36236e-02	0.24176	1.91873	1.29620e-05
6.97232e+02	2.33873e-02	2.22001e-02	3.64104	0.41365	1.29620e-05
7.04996e+02	2.33874e-02	1.90602e-02	1.13239	5.24655	1.29620e-05
7.12761e+02	2.34024e-02	2.59436e-02	4.67642	3.80592	1.29620e-05
7.20525e+02	2.33920e-02	1.99623e-02	1.66231	2.43657	1.29620e-05
7.28289e+02	2.33892e-02	1.86991e-02	5.71772	0.78444	1.29620e-05
7.36054e+02	2.34097e-02	2.58645e-02	2.79754	5.70899	1.29620e-05
7.43818e+02	2.33960e-02	2.07164e-02	6.13036	4.35004	1.29620e-05
7.51582e+02	2.33885e-02	2.00073e-02	3.71772	2.89933	1.29620e-05
7.59346e+02	2.34084e-02	2.46789e-02	0.86213	1.49827	1.29620e-05
7.67111e+02	2.33896e-02	2.04347e-02	4.28301	0.06820	1.29620e-05
7.74875e+02	2.33822e-02	2.00694e-02	1.69432	5.06911	1.29620e-05
7.82639e+02	2.33919e-02	2.21300e-02	5.25812	3.75556	1.29620e-05
7.90403e+02	2.33928e-02	2.23019e-02	2.36125	2.28253	1.29620e-05
7.98168e+02	2.33872e-02	2.01822e-02	5.99706	0.96867	1.29620e-05
8.05932e+02	2.33956e-02	2.36400e-02	3.37369	5.94876	1.29620e-05
8.13696e+02	2.34054e-02	2.46083e-02	0.42941	4.64308	1.29620e-05
