# t	a	e	mean_anomaly	varpi	mass/M_star
6.21144e+00	5.67804e-02	2.64415e-02	1.21070	1.82614	4.41310e-05
1.39757e+01	5.67504e-02	2.57145e-02	5.33872	5.15473	4.41310e-05
2.17400e+01	5.67314e-02	2.54353e-02	3.62932	2.14047	4.41310e-05
2.95043e+01	5.67121e-02	2.46681e-02	2.33778	5.37122	4.41310e-05
3.72685e+01	5.67102e-02	2.43613e-02	1.58956	2.14972	4.41310e-05
4.50328e+01	5.66917e-02	2.31619e-02	1.21599	5.20066	4.41310e-05
5.27971e+01	5.66371e-02	2.29992e-02	1.38908	1.79084	4.41310e-05
6.05614e+01	5.66740e-02	2.19542e-02	1.99742	4.60406	4.41310e-05
6.83257e+01	5.66228e-02	2.25563e-02	3.07250	1.05160	4.41310e-05
7.60899e+01	5.66421e-02	2.21348e-02	4.65658	3.65988	4.41310e-05
8.38542e+01	5.66242e-02	2.16869e-02	0.41668	6.18189	4.41310e-05
9.16185e+01	5.65863e-02	2.13613e-02	2.95769	2.28314	4.41310e-05
9.93828e+01	5.65999e-02	2.02506e-02	5.96002	4.56704	4.41310e-05
1.07147e+02	5.65737e-02	1.95918e-02	3.06667	0.55466	4.41310e-05
1.14911e+02	5.65977e-02	2.07839e-02	0.70861	2.67785	4.41310e-05
1.22676e+02	5.65590e-02	1.98471e-02	5.17449	4.64136	4.41310e-05
1.30440e+02	5.65305e-02	1.88160e-02	3.78399	0.25129	4.41310e-05
1.38204e+02	5.65104e-02	1.86168e-02	2.84187	2.05050	4.41310e-05
1.45968e+02	5.65084e-02	1.87175e-02	2.41164	3.71345	4.41310e-05
1.53733e+02	5.65059e-02	1.85912e-02	2.47511	5.27424	4.41310e-05
1.61497e+02	5.64766e-02	1.80621e-02	3.01391	0.45007	4.41310e-05
1.69261e+02	5.64604e-02	1.72205e-02	3.98119	1.83803	4.41310e-05
1.77026e+02	5.64866e-02	1.76149e-02	5.47104	3.05588	4.41310e-05
1.84790e+02	5.64601e-02	1.77546e-02	1.13371	4.20745	4.41310e-05
1.92554e+02	5.64265e-02	1.73757e-02	3.68709	5.13963	4.41310e-05
2.00318e+02	5.64481e-02	1.67878e-02	0.34091	6.03753	4.41310e-05
2.08083e+02	5.63937e-02	1.59928e-02	3.70941	0.57459	4.41310e-05
2.15847e+02	5.63998e-02	1.64831e-02	1.26380	1.31130	4.41310e-05
2.23611e+02	5.64109e-02	1.63417e-02	5.65455	1.88476	4.41310e-05
2.31375e+02	5.63698e-02	1.50025e-02	4.32571	2.25276	4.41310e-05
