# t	a	e	mean_anomaly	varpi	mass/M_star
6.52199e+01	1.21585e-02	3.80780e-03	4.81283	4.65281	4.59020e-05
1.35098e+02	1.21589e-02	3.63735e-03	2.78371	3.00926	4.59020e-05
2.04977e+02	1.21582e-02	5.26116e-03	2.39314	1.11874	4.59020e-05
2.74855e+02	1.21576e-02	3.52324e-03	2.18161	5.52977	4.59020e-05
3.44734e+02	1.21580e-02	5.07981e-03	2.12484	3.77952	4.59020e-05
4.14612e+02	1.21570e-02	3.36862e-03	2.52765	1.55492	4.59020e-05
4.84491e+02	1.21577e-02	3.76754e-03	1.98386	0.09029	4.59020e-05
5.54369e+02	1.21573e-02	2.84233e-03	2.15382	4.44092	4.59020e-05
6.24248e+02	1.21576e-02	3.31048e-03	2.33212	2.49642	4.59020e-05
6.94126e+02	1.21570e-02	1.70358e-03	2.17324	0.82034	4.59020e-05
7.64005e+02	1.21576e-02	2.92284e-03	2.11912	5.24479	4.59020e-05
8.33883e+02	1.21574e-02	1.80484e-03	1.84129	3.67945	4.59020e-05
9.03762e+02	1.21573e-02	2.40096e-03	2.14646	1.62426	4.59020e-05
9.73640e+02	1.21580e-02	1.90115e-03	1.33337	0.60795	4.59020e-05
1.04352e+03	1.21574e-02	3.93565e-03	1.87250	4.25112	4.59020e-05
1.11340e+03	1.21584e-02	1.16974e-03	1.48202	2.56412	4.59020e-05
1.18328e+03	1.21608e-02	3.95141e-03	1.37778	0.84552	4.59020e-05
1.25315e+03	1.21584e-02	2.54071e-03	1.44430	5.17714	4.59020e-05
1.32303e+03	1.21610e-02	3.50476e-03	1.38785	3.34294	4.59020e-05
1.39291e+03	1.21586e-02	2.54529e-03	1.48886	1.55713	4.59020e-05
1.46279e+03	1.21612e-02	4.40419e-03	1.46437	6.00086	4.59020e-05
1.53267e+03	1.21582e-02	3.29411e-03	1.63917	3.98662	4.59020e-05
1.60255e+03	1.21620e-02	4.67490e-03	1.73631	2.23106	4.59020e-05
1.67243e+03	1.21585e-02	3.56567e-03	2.19836	0.18481	4.59020e-05
1.74230e+03	1.21579e-02	5.74683e-03	2.75741	4.44602	4.59020e-05
1.81218e+03	1.21580e-02	2.53205e-03	3.12072	2.53873	4.59020e-05
1.88206e+03	1.21577e-02	4.25390e-03	3.60904	0.65863	4.59020e-05
1.95194e+03	1.21577e-02	3.40598e-03	4.22598	4.92395	4.59020e-05
2.02182e+03	1.21582e-02	3.37070e-03	4.33571	3.20810	4.59020e-05
2.09170e+03	1.21618e-02	1.60429e-03	4.99365	1.05903	4.59020e-05
2.16157e+03	1.21576e-02	3.99617e-03	5.28183	5.84306	4.59020e-05
2.23145e+03	1.21571e-02	1.91806e-03	5.84883	4.01585	4.59020e-05
2.30133e+03	1.21613e-02	3.93952e-03	0.12394	2.46935	4.59020e-05
2.37121e+03	1.21577e-02	3.33996e-03	0.71022	0.81080	4.59020e-05
2.44109e+03	1.21583e-02	5.81178e-03	1.97620	4.83299	4.59020e-05
2.51097e+03	1.21586e-02	3.33923e-03	3.05780	2.68077	4.59020e-05
2.58085e+03	1.21572e-02	4.80373e-03	4.06220	0.94317	4.59020e-05
2.65072e+03	1.21577e-02	2.70851e-03	5.71886	4.88871	4.59020e-05
2.72060e+03	1.21579e-02	3.38806e-03	0.29630	3.25062	4.59020e-05
2.79048e+03	1.21575e-02	1.21304e-03	0.91298	1.85282	4.59020e-05
2.86036e+03	1.21574e-02	5.18979e-03	1.84907	6.18985	4.59020e-05
2.93024e+03	1.21581e-02	3.63609e-03	3.31125	3.82457	4.59020e-05
3.00012e+03	1.21573e-02	4.74701e-03	3.93870	2.13911	4.59020e-05
3.07000e+03	1.21586e-02	3.57340e-03	4.97271	0.04494	4.59020e-05
3.13987e+03	1.21580e-02	4.36344e-03	5.44165	4.62603	4.59020e-05
