# t	a	e	mean_anomaly	varpi	mass/M_star
6.52199e+01	5.67437e-02	2.65713e-02	2.95008	1.20039	4.41310e-05
1.35098e+02	5.67485e-02	2.69375e-02	2.79824	1.33462	4.41310e-05
2.04977e+02	5.67430e-02	2.65115e-02	3.43041	1.29689	4.41310e-05
2.74855e+02	5.67836e-02	2.64396e-02	4.85511	1.08507	4.41310e-05
3.44734e+02	5.67446e-02	2.68679e-02	0.62632	0.85969	4.41310e-05
4.14612e+02	5.67505e-02	2.60837e-02	3.52516	0.41183	4.41310e-05
4.84491e+02	5.67207e-02	2.61358e-02	0.90078	6.10438	4.41310e-05
5.54369e+02	5.67370e-02	2.61743e-02	5.33720	5.35778	4.41310e-05
6.24248e+02	5.67498e-02	2.59443e-02	4.22436	4.48567	4.41310e-05
6.94126e+02	5.67296e-02	2.54510e-02	3.88218	3.45815	4.41310e-05
7.64005e+02	5.67228e-02	2.60957e-02	4.27054	2.31449	4.41310e-05
8.33883e+02	5.67246e-02	2.57163e-02	5.44203	1.00111	4.41310e-05
9.03762e+02	5.67234e-02	2.53416e-02	1.08277	5.84024	4.41310e-05
9.73640e+02	5.67203e-02	2.55239e-02	3.75458	4.25486	4.41310e-05
1.04352e+03	5.67467e-02	2.58722e-02	0.91503	2.51569	4.41310e-05
1.11340e+03	5.67346e-02	2.51676e-02	5.18166	0.57289	4.41310e-05
1.18328e+03	5.67494e-02	2.52238e-02	3.90770	4.80336	4.41310e-05
1.25315e+03	5.67025e-02	2.50199e-02	3.36643	2.62919	4.41310e-05
1.32303e+03	5.66855e-02	2.54586e-02	3.64667	0.24609	4.41310e-05
1.39291e+03	5.66905e-02	2.43932e-02	4.64083	4.03323	4.41310e-05
1.46279e+03	5.67184e-02	2.48078e-02	0.09364	1.41335	4.41310e-05
1.53267e+03	5.67181e-02	2.48678e-02	2.65384	4.87523	4.41310e-05
1.60255e+03	5.67279e-02	2.51042e-02	5.93195	1.94545	4.41310e-05
1.67243e+03	5.66834e-02	2.47682e-02	3.71313	5.11652	4.41310e-05
1.74230e+03	5.67071e-02	2.43792e-02	2.20775	1.89697	4.41310e-05
1.81218e+03	5.66968e-02	2.46864e-02	1.52607	4.75097	4.41310e-05
1.88206e+03	5.67173e-02	2.44069e-02	1.57667	1.21266	4.41310e-05
1.95194e+03	5.66674e-02	2.44041e-02	2.38262	3.80646	4.41310e-05
2.02182e+03	5.66969e-02	2.37347e-02	4.19976	6.10833	4.41310e-05
2.09170e+03	5.67003e-02	2.46265e-02	0.53455	1.95974	4.41310e-05
2.16157e+03	5.66933e-02	2.43864e-02	3.94602	3.91916	4.41310e-05
2.23145e+03	5.66730e-02	2.38485e-02	1.75776	5.76986	4.41310e-05
2.30133e+03	5.66867e-02	2.37628e-02	0.32263	1.18511	4.41310e-05
2.37121e+03	5.67047e-02	2.38241e-02	5.97185	2.71113	4.41310e-05
2.44109e+03	5.66704e-02	2.29007e-02	6.08283	4.09227	4.41310e-05
2.51097e+03	5.67021e-02	2.34886e-02	0.62371	5.35232	4.41310e-05
2.58085e+03	5.66861e-02	2.37389e-02	2.27396	0.14236	4.41310e-05
2.65072e+03	5.66774e-02	2.33031e-02	4.67578	1.05643	4.41310e-05
2.72060e+03	5.66714e-02	2.34375e-02	1.51486	1.84581	4.41310e-05
2.79048e+03	5.66689e-02	2.35835e-02	5.46241	2.44421	4.41310e-05
2.86036e+03	5.66458e-02	2.28861e-02	3.87644	2.88338	4.41310e-05
2.93024e+03	5.66516e-02	2.31308e-02	3.05791	3.17375	4.41310e-05
3.00012e+03	5.66579e-02	2.27092e-02	3.01662	3.31025	4.41310e-05
3.07000e+03	5.66399e-02	2.24200e-02	3.72936	3.26810	4.41310e-05
3.13987e+03	5.66460e-02	2.27956e-02	5.25552	3.04772	4.41310e-05
3.20975e+03	5.66564e-02	2.26343e-02	1.12797	2.77664	4.41310e-05
3.27963e+03	5.66761e-02	2.23774e-02	4.24759	2.17168	4.41310e-05
3.34951e+03	5.66572e-02	2.24329e-02	1.65693	1.58502	4.41310e-05
3.41939e+03	5.66665e-02	2.33877e-02	6.24445	0.72396	4.41310e-05
3.48927e+03	5.66489e-02	2.19260e-02	5.29565	5.99937	4.41310e-05
3.55915e+03	5.66564e-02	2.22753e-02	5.07744	4.85781	4.41310e-05
3.62902e+03	5.66344e-02	2.20837e-02	5.63242	3.56130	4.41310e-05
3.69890e+03	5.66760e-02	2.28003e-02	0.66618	2.09592	4.41310e-05
3.76878e+03	5.66161e-02	2.14912e-02	2.78923	0.44642	4.41310e-05
3.83866e+03	5.66518e-02	2.21510e-02	5.63528	4.94899	4.41310e-05
3.90854e+03	5.66263e-02	2.17527e-02	2.95184	3.02363	4.41310e-05
3.97842e+03	5.66254e-02	2.22835e-02	1.11893	0.85274	4.41310e-05
4.04829e+03	5.66320e-02	2.20974e-02	6.25578	4.87378	4.41310e-05
4.11817e+03	5.66335e-02	2.16942e-02	5.93811	2.40429	4.41310e-05
4.18805e+03	5.66028e-02	2.14837e-02	0.01865	6.12373	4.41310e-05
4.25793e+03	5.65915e-02	2.16798e-02	1.22489	3.34257	4.41310e-05
4.32781e+03	5.66212e-02	2.20236e-02	3.14294	0.42766	4.41310e-05
4.39769e+03	5.66221e-02	2.09320e-02	5.88609	3.59470	4.41310e-05
4.46757e+03	5.65752e-02	2.20544e-02	3.09303	0.33351	4.41310e-05
4.53744e+03	5.66357e-02	2.13725e-02	1.09614	3.15684	4.41310e-05
4.60732e+03	5.65951e-02	2.09348e-02	6.12325	5.85907	4.41310e-05
4.67720e+03	5.66097e-02	2.17102e-02	5.63600	2.08766	4.41310e-05
4.74708e+03	5.66136e-02	2.06709e-02	5.98181	4.37846	4.41310e-05
4.81696e+03	5.65910e-02	2.14987e-02	0.72892	0.31755	4.41310e-05
4.88684e+03	5.65975e-02	2.12324e-02	2.58051	2.29864	4.41310e-05
4.95672e+03	5.65969e-02	2.06331e-02	5.25734	4.07644	4.41310e-05
5.02659e+03	5.65908e-02	2.01851e-02	2.29845	5.81377	4.41310e-05
5.09647e+03	5.65935e-02	2.09325e-02	0.14527	1.04840	4.41310e-05
5.16635e+03	5.65736e-02	2.08786e-02	5.11517	2.33787	4.41310e-05
5.23623e+03	5.66041e-02	2.15924e-02	4.55314	3.49405	4.41310e-05
5.30611e+03	5.65638e-02	2.21674e-02	4.73445	4.49828	4.41310e-05
5.37599e+03	5.65934e-02	2.10468e-02	5.68913	5.31996	4.41310e-05
5.44586e+03	5.66004e-02	2.08042e-02	1.05719	6.07061	4.41310e-05
5.51574e+03	5.65798e-02	2.07633e-02	3.54532	0.29204	4.41310e-05
5.58562e+03	5.65789e-02	2.10670e-02	0.49512	0.66809	4.41310e-05
5.65550e+03	5.65868e-02	2.02418e-02	4.55282	0.82256	4.41310e-05
