# t	a	e	mean_anomaly	varpi	mass/M_star
1.86343e+01	4.68471e-02	3.04875e-02	4.30279	2.19114	3.47100e-05
4.19271e+01	4.68189e-02	3.05693e-02	0.38136	0.05467	3.47100e-05
6.52199e+01	4.68113e-02	3.04868e-02	3.87028	4.00745	3.47100e-05
8.85128e+01	4.68030e-02	2.97853e-02	2.18491	1.56894	3.47100e-05
1.11806e+02	4.68106e-02	3.04699e-02	1.64036	5.23077	3.47100e-05
1.35098e+02	4.67877e-02	2.89017e-02	2.22912	2.41723	3.47100e-05
1.58391e+02	4.67851e-02	2.77126e-02	3.97528	5.73059	3.47100e-05
1.81684e+02	4.68049e-02	2.97048e-02	0.49002	2.64144	3.47100e-05
2.04977e+02	4.67957e-02	2.83048e-02	4.47718	5.61635	3.47100e-05
2.28270e+02	4.67504e-02	2.72275e-02	3.17110	2.24634	3.47100e-05
2.51563e+02	4.67538e-02	2.78689e-02	3.00999	4.93551	3.47100e-05
2.74855e+02	4.67542e-02	2.69935e-02	4.09257	1.09909	3.47100e-05
2.98148e+02	4.67615e-02	2.62541e-02	6.18932	3.44640	3.47100e-05
3.21441e+02	4.67258e-02	2.70345e-02	3.18046	5.62037	3.47100e-05
3.44734e+02	4.67448e-02	2.74493e-02	1.28043	1.32190	3.47100e-05
3.68027e+02	4.67346e-02	2.66624e-02	0.53620	3.14753	3.47100e-05
3.91320e+02	4.67201e-02	2.68224e-02	0.90478	4.78016	3.47100e-05
4.14612e+02	4.67194e-02	2.52540e-02	2.46196	6.21560	3.47100e-05
4.37905e+02	4.67135e-02	2.60837e-02	5.12805	1.18221	3.47100e-05
4.61198e+02	4.67065e-02	2.42609e-02	2.59032	2.34756	3.47100e-05
4.84491e+02	4.66755e-02	2.51851e-02	1.31140	3.16498	3.47100e-05
5.07784e+02	4.66686e-02	2.43497e-02	1.07386	3.95420	3.47100e-05
5.31077e+02	4.66633e-02	2.47787e-02	2.06005	4.41804	3.47100e-05
5.54369e+02	4.66615e-02	2.43803e-02	4.09716	4.83054	3.47100e-05
5.77662e+02	4.66910e-02	2.45779e-02	1.01607	4.97729	3.47100e-05
6.00955e+02	4.66495e-02	2.47774e-02	5.34310	4.95474	3.47100e-05
6.24248e+02	4.66534e-02	2.25216e-02	4.47802	4.81482	3.47100e-05
6.47541e+02	4.66331e-02	2.27266e-02	4.79999	4.40256	3.47100e-05
6.70834e+02	4.66316e-02	2.25635e-02	6.27969	3.83429	3.47100e-05
6.94126e+02	4.66238e-02	2.20415e-02	2.62546	3.03965	3.47100e-05
7.17419e+02	4.66244e-02	2.38358e-02	0.09356	2.07818	3.47100e-05
7.40712e+02	4.66175e-02	2.25132e-02	5.02329	0.92722	3.47100e-05
7.64005e+02	4.66084e-02	2.13246e-02	4.84622	5.79800	3.47100e-05
7.87298e+02	4.65960e-02	2.20757e-02	5.75203	4.28006	3.47100e-05
8.10591e+02	4.66086e-02	2.16020e-02	1.49835	2.60891	3.47100e-05
8.33883e+02	4.65912e-02	2.13446e-02	4.71947	0.66605	3.47100e-05
8.57176e+02	4.65860e-02	2.07116e-02	2.88342	4.75353	3.47100e-05
8.80469e+02	4.65664e-02	2.09098e-02	2.08592	2.49075	3.47100e-05
9.03762e+02	4.65626e-02	2.01242e-02	2.57404	6.15872	3.47100e-05
9.27055e+02	4.65510e-02	2.10235e-02	4.07165	3.49227	3.47100e-05
9.50348e+02	4.65387e-02	2.03363e-02	0.56877	0.51816	3.47100e-05
9.73640e+02	4.65276e-02	1.86294e-02	4.46551	3.64246	3.47100e-05
9.96933e+02	4.65380e-02	2.06816e-02	3.16028	0.34981	3.47100e-05
1.02023e+03	4.65235e-02	2.04693e-02	3.15967	3.01450	3.47100e-05
1.04352e+03	4.65119e-02	1.89564e-02	4.09137	5.70149	3.47100e-05
1.06681e+03	4.65126e-02	1.93676e-02	0.03871	1.73578	3.47100e-05
1.09010e+03	4.65127e-02	1.86163e-02	3.40469	3.88446	3.47100e-05
1.11340e+03	4.64982e-02	1.87438e-02	1.73995	5.78804	3.47100e-05
1.13669e+03	4.64988e-02	1.92645e-02	1.30940	1.13255	3.47100e-05
1.15998e+03	4.64988e-02	1.84795e-02	2.00036	2.57372	3.47100e-05
1.18328e+03	4.64913e-02	1.85422e-02	3.72067	3.96263	3.47100e-05
1.20657e+03	4.64847e-02	1.96243e-02	0.43387	5.04003	3.47100e-05
1.22986e+03	4.64604e-02	1.74368e-02	4.60698	5.88624	3.47100e-05
1.25315e+03	4.64613e-02	1.74211e-02	3.57579	0.30924	3.47100e-05
1.27645e+03	4.64580e-02	1.79368e-02	3.79573	0.72520	3.47100e-05
1.29974e+03	4.64602e-02	1.82109e-02	5.09826	1.04039	3.47100e-05
1.32303e+03	4.64550e-02	1.86522e-02	1.21368	1.21643	3.47100e-05
1.34633e+03	4.64467e-02	1.70425e-02	4.85136	1.08238	3.47100e-05
1.36962e+03	4.64272e-02	1.76907e-02	3.40107	0.70727	3.47100e-05
1.39291e+03	4.64197e-02	1.69445e-02	3.05504	0.21205	3.47100e-05
1.41620e+03	4.64126e-02	1.78085e-02	3.79857	5.86726	3.47100e-05
1.43950e+03	4.64599e-02	1.67316e-02	5.78965	4.92919	3.47100e-05
1.46279e+03	4.63996e-02	1.68904e-02	2.64325	3.80093	3.47100e-05
1.48608e+03	4.63737e-02	1.69241e-02	0.57577	2.56634	3.47100e-05
1.50938e+03	4.63906e-02	1.75623e-02	5.97066	1.11296	3.47100e-05
1.53267e+03	4.63618e-02	1.56127e-02	6.20638	5.78487	3.47100e-05
1.55596e+03	4.63763e-02	1.69541e-02	1.31952	3.94198	3.47100e-05
1.57925e+03	4.63735e-02	1.46169e-02	3.82971	1.95771	3.47100e-05
