# t	a	e	mean_anomaly	varpi	mass/M_star
1.86343e+01	2.34036e-02	2.30497e-02	4.38793	2.65974	1.29620e-05
4.19271e+01	2.33995e-02	2.58229e-02	2.82380	4.81338	1.29620e-05
6.52199e+01	2.33996e-02	2.38694e-02	1.01529	0.58661	1.29620e-05
8.85128e+01	2.33965e-02	2.07419e-02	5.56449	2.56058	1.29620e-05
1.11806e+02	2.34009e-02	2.38310e-02	3.75785	4.46925	1.29620e-05
1.35098e+02	2.33867e-02	2.31382e-02	2.18460	0.40599	1.29620e-05
1.58391e+02	2.33912e-02	1.84932e-02	0.22222	2.72891	1.29620e-05
1.81684e+02	2.33976e-02	2.24314e-02	4.35050	5.33275	1.29620e-05
2.04977e+02	2.33958e-02	2.00423e-02	3.01901	1.68217	1.29620e-05
2.28270e+02	2.33833e-02	1.70355e-02	1.04437	5.29729	1.29620e-05
2.51563e+02	2.33988e-02	2.33239e-02	5.55915	2.02837	1.29620e-05
2.74855e+02	2.33810e-02	1.90904e-02	3.91877	4.19917	1.29620e-05
2.98148e+02	2.33904e-02	1.92600e-02	1.60830	0.56404	1.29620e-05
3.21441e+02	2.33845e-02	2.01085e-02	0.07259	3.59677	1.29620e-05
3.44734e+02	2.33886e-02	2.11199e-02	4.18321	1.18803	1.29620e-05
3.68027e+02	2.33895e-02	1.86207e-02	2.49826	4.24685	1.29620e-05
3.91320e+02	2.33894e-02	1.74118e-02	0.87107	1.10790	1.29620e-05
4.14612e+02	2.33772e-02	1.75291e-02	4.75819	5.05800	1.29620e-05
4.37905e+02	2.33814e-02	1.78983e-02	3.20915	1.73956	1.29620e-05
4.61198e+02	2.33992e-02	2.42027e-02	1.17732	4.85615	1.29620e-05
4.84491e+02	2.34021e-02	2.43837e-02	5.45566	1.88782	1.29620e-05
5.07784e+02	2.33893e-02	1.81034e-02	3.55920	5.80055	1.29620e-05
5.31077e+02	2.34006e-02	2.14458e-02	1.53816	2.80495	1.29620e-05
5.54369e+02	2.33851e-02	1.44786e-02	5.45565	0.47017	1.29620e-05
5.77662e+02	2.34020e-02	2.35671e-02	3.28789	4.61310	1.29620e-05
6.00955e+02	2.33889e-02	2.25969e-02	1.12357	1.70894	1.29620e-05
6.24248e+02	2.33960e-02	2.43433e-02	5.73987	4.22793	1.29620e-05
6.47541e+02	2.33975e-02	2.14141e-02	3.82336	0.11041	1.29620e-05
6.70834e+02	2.33945e-02	2.15020e-02	1.98927	2.17832	1.29620e-05
6.94126e+02	2.33826e-02	1.83687e-02	6.16544	4.61295	1.29620e-05
7.17419e+02	2.33936e-02	1.75186e-02	4.37041	1.63335	1.29620e-05
7.40712e+02	2.33928e-02	1.64618e-02	1.70158	5.90357	1.29620e-05
7.64005e+02	2.34106e-02	2.46876e-02	6.10051	3.59965	1.29620e-05
7.87298e+02	2.33971e-02	2.35567e-02	4.03651	0.57252	1.29620e-05
8.10591e+02	2.33811e-02	1.83698e-02	2.05504	4.76842	1.29620e-05
8.33883e+02	2.33822e-02	1.71203e-02	6.27842	2.03646	1.29620e-05
8.57176e+02	2.33850e-02	1.97486e-02	4.19443	5.53394	1.29620e-05
8.80469e+02	2.33789e-02	1.73054e-02	2.28252	2.69539	1.29620e-05
9.03762e+02	2.34043e-02	2.41972e-02	6.16847	0.75465	1.29620e-05
9.27055e+02	2.34054e-02	2.20120e-02	4.14019	4.05174	1.29620e-05
9.50348e+02	2.33913e-02	2.10752e-02	1.92940	1.27629	1.29620e-05
9.73640e+02	2.34039e-02	2.30256e-02	0.09193	5.02864	1.29620e-05
9.96933e+02	2.33975e-02	2.12543e-02	4.46659	2.50791	1.29620e-05
1.02023e+03	2.33898e-02	2.17156e-02	2.32289	5.27774	1.29620e-05
1.04352e+03	2.33921e-02	2.20152e-02	0.49110	3.00141	1.29620e-05
1.06681e+03	2.33919e-02	2.08037e-02	4.87112	0.19792	1.29620e-05
1.09010e+03	2.34038e-02	2.26234e-02	2.71470	3.66194	1.29620e-05
1.11340e+03	2.34067e-02	2.43047e-02	0.68003	0.56170	1.29620e-05
1.13669e+03	2.33824e-02	1.65040e-02	5.08701	4.60484	1.29620e-05
1.15998e+03	2.33988e-02	1.99958e-02	3.14830	1.59233	1.29620e-05
1.18328e+03	2.34051e-02	2.47691e-02	0.77425	4.88152	1.29620e-05
1.20657e+03	2.33981e-02	2.38432e-02	5.12185	2.20937	1.29620e-05
1.22986e+03	2.33755e-02	1.51332e-02	2.88013	0.27113	1.29620e-05
1.25315e+03	2.33803e-02	1.39869e-02	0.67686	3.91822	1.29620e-05
1.27645e+03	2.33918e-02	1.77971e-02	4.39272	1.67663	1.29620e-05
1.29974e+03	2.34069e-02	2.30414e-02	2.53405	5.78954	1.29620e-05
1.32303e+03	2.33991e-02	2.37739e-02	0.26313	2.90465	1.29620e-05
1.34633e+03	2.33906e-02	1.64654e-02	4.45169	6.17073	1.29620e-05
1.36962e+03	2.34047e-02	2.23367e-02	2.30853	3.73130	1.29620e-05
1.39291e+03	2.33999e-02	1.88542e-02	5.54539	3.59157	1.29620e-05
