# t	a	e	mean_anomaly	varpi	mass/M_star
3.10572e+00	3.48148e-02	2.54612e-03	6.13008	0.52768	2.31180e-05
6.98788e+00	3.48264e-02	4.84896e-03	0.50736	0.44615	2.31180e-05
1.08700e+01	3.48117e-02	2.12707e-03	0.88238	0.63820	2.31180e-05
1.47522e+01	3.48174e-02	2.02898e-03	0.25884	1.84594	2.31180e-05
1.86343e+01	3.48051e-02	2.74166e-03	1.43421	1.23850	2.31180e-05
2.25164e+01	3.48159e-02	4.65297e-03	2.03925	1.22426	2.31180e-05
2.63985e+01	3.48029e-02	2.47230e-03	2.34447	1.49558	2.31180e-05
3.02807e+01	3.48161e-02	2.22716e-03	2.89129	1.53463	2.31180e-05
3.41628e+01	3.48064e-02	2.26626e-03	3.24593	1.75671	2.31180e-05
3.80450e+01	3.48142e-02	3.96175e-03	4.09321	1.50213	2.31180e-05
4.19271e+01	3.48193e-02	8.24649e-04	5.35525	0.81660	2.31180e-05
4.58093e+01	3.48150e-02	3.51153e-03	4.08873	2.67164	2.31180e-05
4.96914e+01	3.48205e-02	3.96836e-03	5.10209	2.23462	2.31180e-05
5.35735e+01	3.48147e-02	3.14764e-03	5.57134	2.35140	2.31180e-05
5.74557e+01	3.48264e-02	3.29789e-03	6.00964	2.49029	2.31180e-05
6.13378e+01	3.48092e-02	1.99867e-03	0.97493	1.82532	2.31180e-05
6.52199e+01	3.48196e-02	2.03819e-03	1.00109	2.37345	2.31180e-05
6.91021e+01	3.48122e-02	2.13141e-03	1.07553	2.88833	2.31180e-05
7.29842e+01	3.48147e-02	3.38122e-03	1.81315	2.72248	2.31180e-05
7.68664e+01	3.48068e-02	3.55775e-03	1.96192	3.16180	2.31180e-05
8.07485e+01	3.48074e-02	2.98672e-03	2.09950	3.59159	2.31180e-05
8.46307e+01	3.48182e-02	5.44565e-04	2.65071	3.63028	2.31180e-05
8.85128e+01	3.48121e-02	3.20523e-03	3.68107	3.18841	2.31180e-05
9.23949e+01	3.48214e-02	2.53732e-03	3.78859	3.65583	2.31180e-05
9.62771e+01	3.48177e-02	2.83361e-03	3.99114	4.03888	2.31180e-05
1.00159e+02	3.48300e-02	2.87493e-03	4.69691	3.90732	2.31180e-05
1.04041e+02	3.48221e-02	2.73921e-03	5.01856	4.17709	2.31180e-05
1.07923e+02	3.48281e-02	3.13519e-03	5.34747	4.42409	2.31180e-05
1.11806e+02	3.48218e-02	4.02459e-03	5.82706	4.53244	2.31180e-05
1.15688e+02	3.48278e-02	4.67358e-03	0.33923	4.31479	2.31180e-05
1.19570e+02	3.48196e-02	3.10533e-03	0.74892	4.49297	2.31180e-05
1.23452e+02	3.48110e-02	1.56169e-03	0.78427	5.04428	2.31180e-05
1.27334e+02	3.48114e-02	1.41445e-03	1.74574	4.67041	2.31180e-05
1.31216e+02	3.48045e-02	2.35691e-03	1.54638	5.44693	2.31180e-05
1.35098e+02	3.48155e-02	2.34266e-03	2.78234	4.79879	2.31180e-05
1.38981e+02	3.48028e-02	2.48212e-03	3.34281	4.80836	2.31180e-05
1.42863e+02	3.48315e-02	2.32490e-03	3.25030	5.48447	2.31180e-05
1.46745e+02	3.48057e-02	2.59072e-03	3.33437	5.96350	2.31180e-05
1.50627e+02	3.48202e-02	6.02282e-04	3.35086	0.25164	2.31180e-05
1.54509e+02	3.48132e-02	3.63700e-03	4.82013	5.63782	2.31180e-05
1.58391e+02	3.48239e-02	4.31281e-03	4.26693	0.48856	2.31180e-05
1.62273e+02	3.48201e-02	2.59336e-03	5.88468	5.72813	2.31180e-05
1.66156e+02	3.48242e-02	3.53406e-03	5.25267	0.65057	2.31180e-05
1.70038e+02	3.48197e-02	3.02528e-03	6.09346	0.37363	2.31180e-05
1.73920e+02	3.48251e-02	3.12670e-03	6.14626	0.90818	2.31180e-05
1.77802e+02	3.48207e-02	4.78688e-03	0.19893	1.13694	2.31180e-05
1.81684e+02	3.48370e-02	2.93418e-03	0.79341	1.11863	2.31180e-05
1.85566e+02	3.48122e-02	1.54305e-03	2.46124	0.01956	2.31180e-05
1.89448e+02	3.48285e-02	2.53664e-03	1.84308	1.21635	2.31180e-05
1.93331e+02	3.48164e-02	1.95017e-04	4.15734	5.75525	2.31180e-05
1.97213e+02	3.48220e-02	1.82583e-03	2.01394	2.20184	2.31180e-05
2.01095e+02	3.48078e-02	3.13787e-03	3.22802	1.54627	2.31180e-05
2.04977e+02	3.48165e-02	3.84205e-03	4.04256	1.32091	2.31180e-05
2.08859e+02	3.48067e-02	5.24870e-03	4.08988	1.84325	2.31180e-05
2.12741e+02	3.48189e-02	4.38802e-03	3.74563	2.76632	2.31180e-05
2.16623e+02	3.48052e-02	1.43048e-03	2.56423	4.51803	2.31180e-05
2.20505e+02	3.48194e-02	4.77956e-03	5.60712	2.06371	2.31180e-05
2.24388e+02	3.48028e-02	3.27701e-03	4.38757	3.85195	2.31180e-05
2.28270e+02	3.48151e-02	3.76127e-03	6.04571	2.76880	2.31180e-05
2.32152e+02	3.48119e-02	3.38120e-03	6.12282	3.27779	2.31180e-05
2.36034e+02	3.48171e-02	5.44588e-03	0.85945	2.83447	2.31180e-05
2.39916e+02	3.48075e-02	2.25131e-03	1.44866	2.80857	2.31180e-05
2.43798e+02	3.48245e-02	4.22622e-03	0.44696	4.40049	2.31180e-05
2.47680e+02	3.48171e-02	2.70431e-03	1.03245	4.38016	2.31180e-05
2.51563e+02	3.48207e-02	4.78974e-03	2.44643	3.56064	2.31180e-05
2.55445e+02	3.48221e-02	1.37777e-03	2.70879	3.88402	2.31180e-05
2.59327e+02	3.48196e-02	3.65397e-03	2.94033	4.21794	2.31180e-05
2.63209e+02	3.48207e-02	4.69381e-03	3.68126	4.06386	2.31180e-05
2.67091e+02	3.48159e-02	5.63487e-03	4.00083	4.34378	2.31180e-05
2.70973e+02	3.48210e-02	5.71530e-03	4.00490	4.91254	2.31180e-05
2.74855e+02	3.48119e-02	5.63462e-03	3.41345	6.09094	2.31180e-05
2.78738e+02	3.48188e-02	2.17235e-03	1.78443	2.03024	2.31180e-05
2.82620e+02	3.48073e-02	4.99720e-03	5.46553	5.24660	2.31180e-05
2.86502e+02	3.48132e-02	2.47786e-03	4.57013	0.43759	2.31180e-05
2.90384e+02	3.48029e-02	1.73303e-03	5.34865	0.27348	2.31180e-05
2.94266e+02	3.48159e-02	6.72738e-03	5.73422	0.46041	2.31180e-05
2.98148e+02	3.48014e-02	3.26533e-03	0.65445	6.11530	2.31180e-05
3.02030e+02	3.48108e-02	4.55212e-03	5.88600	1.51417	2.31180e-05
3.05913e+02	3.48056e-02	3.22880e-03	0.22867	1.42750	2.31180e-05
3.09795e+02	3.48229e-02	4.65158e-03	2.31307	6.18314	2.31180e-05
3.13677e+02	3.48085e-02	2.07163e-03	5.28040	3.70347	2.31180e-05
3.17559e+02	3.48270e-02	2.89966e-03	1.33428	1.81433	2.31180e-05
3.21441e+02	3.48166e-02	2.46660e-03	2.37054	1.18422	2.31180e-05
3.25323e+02	3.48218e-02	1.35880e-03	5.20341	5.14016	2.31180e-05
3.29205e+02	3.48217e-02	2.60281e-03	2.13771	2.17031	2.31180e-05
3.33088e+02	3.48332e-02	1.44597e-03	1.84623	3.01542	2.31180e-05
3.36970e+02	3.48406e-02	1.84873e-03	6.00180	5.60775	2.31180e-05
3.40852e+02	3.48532e-02	1.50396e-02	6.20704	4.33317	2.31180e-05
3.44734e+02	3.48265e-02	1.98575e-03	4.90224	4.69066	2.31180e-05
3.48616e+02	3.48540e-02	9.91649e-03	5.49125	4.01337	2.31180e-05
3.52498e+02	3.48161e-02	8.98062e-03	1.92419	1.18866	2.31180e-05
3.56380e+02	3.48271e-02	7.96796e-03	5.15466	3.85610	2.31180e-05
3.60262e+02	3.47926e-02	6.77250e-03	5.68607	4.32921	2.31180e-05
3.64145e+02	3.48316e-02	2.25352e-02	5.70790	4.10901	2.31180e-05
3.68027e+02	3.48229e-02	1.12346e-02	4.08005	5.44345	2.31180e-05
3.71909e+02	3.48194e-02	1.65558e-02	2.43495	1.26270	2.31180e-05
3.75791e+02	3.48119e-02	1.43947e-02	3.33651	1.22445	2.31180e-05
3.79673e+02	3.48128e-02	7.49088e-03	1.26582	3.90424	2.31180e-05
3.83555e+02	3.47938e-02	1.04994e-02	1.37827	4.42329	2.31180e-05
3.87437e+02	3.48063e-02	1.42569e-02	4.24879	3.09722	2.31180e-05
3.91320e+02	3.48102e-02	9.83478e-03	1.56456	0.90064	2.31180e-05
3.95202e+02	3.47920e-02	7.60454e-03	2.78275	0.85338	2.31180e-05
3.99084e+02	3.47715e-02	2.40804e-02	3.19359	1.76505	2.31180e-05
4.02966e+02	3.48094e-02	1.53005e-02	4.75810	1.98315	2.31180e-05
4.06848e+02	3.47920e-02	3.94990e-03	3.59594	5.01912	2.31180e-05
4.10730e+02	3.48007e-02	1.89784e-02	0.59589	3.47698	2.31180e-05
4.14612e+02	3.47811e-02	3.21889e-03	5.13063	1.39167	2.31180e-05
4.18495e+02	3.47891e-02	1.59675e-02	3.34028	5.26016	2.31180e-05
4.22377e+02	3.47984e-02	8.16504e-03	0.81348	4.18051	2.31180e-05
4.26259e+02	3.47902e-02	1.16075e-02	5.97683	1.51521	2.31180e-05
4.30141e+02	3.47669e-02	1.74733e-02	2.54885	1.52873	2.31180e-05
4.34023e+02	3.47597e-02	1.02243e-02	3.90429	3.23874	2.31180e-05
4.37905e+02	3.47367e-02	2.03788e-02	5.20118	5.15776	2.31180e-05
4.41787e+02	3.47326e-02	1.73053e-02	0.54834	0.88523	2.31180e-05
4.45670e+02	3.47116e-02	2.47355e-02	2.17035	3.00309	2.31180e-05
4.49552e+02	3.47109e-02	2.10905e-02	4.00797	5.21693	2.31180e-05
4.53434e+02	3.47131e-02	2.22676e-02	5.93276	1.24974	2.31180e-05
4.57316e+02	3.46991e-02	2.29763e-02	1.63856	3.70398	2.31180e-05
4.61198e+02	3.47039e-02	1.89831e-02	3.98423	6.07083	2.31180e-05
4.65080e+02	3.47293e-02	2.20523e-02	6.09744	2.55003	2.31180e-05
4.68962e+02	3.47158e-02	1.74438e-02	2.52120	5.00306	2.31180e-05
4.72845e+02	3.47104e-02	1.88697e-02	5.05543	1.52000	2.31180e-05
4.76727e+02	3.47088e-02	1.53864e-02	1.58891	4.32363	2.31180e-05
4.80609e+02	3.47425e-02	1.69463e-02	4.98279	0.50708	2.31180e-05
4.84491e+02	3.47148e-02	1.24833e-02	1.44716	3.87272	2.31180e-05
4.88373e+02	3.47334e-02	1.69976e-02	5.85163	5.87306	2.31180e-05
4.92255e+02	3.47138e-02	1.06118e-02	2.35641	3.43671	2.31180e-05
