# t	a	e	mean_anomaly	varpi	mass/M_star
3.10572e+00	1.66383e-02	4.05232e-03	3.11653	2.78757	4.36970e-05
6.98788e+00	1.66427e-02	1.61903e-03	5.32021	0.80546	4.36970e-05
1.08700e+01	1.66407e-02	5.07840e-03	5.98554	0.28955	4.36970e-05
1.47522e+01	1.66371e-02	6.78014e-03	0.40008	6.18913	4.36970e-05
1.86343e+01	1.66415e-02	6.42201e-03	1.02774	5.83065	4.36970e-05
2.25164e+01	1.66359e-02	4.46866e-03	2.00251	5.15157	4.36970e-05
2.63985e+01	1.66417e-02	3.11915e-03	3.46252	3.91963	4.36970e-05
3.02807e+01	1.66396e-02	5.77185e-03	4.13848	3.48087	4.36970e-05
3.41628e+01	1.66421e-02	6.20091e-03	4.71292	3.14699	4.36970e-05
3.80450e+01	1.66407e-02	6.17250e-03	5.17149	2.91467	4.36970e-05
4.19271e+01	1.66373e-02	2.94054e-03	5.87317	2.54671	4.36970e-05
4.58093e+01	1.66412e-02	2.67042e-03	1.51930	0.96287	4.36970e-05
4.96914e+01	1.66351e-02	5.12246e-03	2.59792	0.26036	4.36970e-05
5.35735e+01	1.66383e-02	6.91920e-03	3.29911	6.25334	4.36970e-05
5.74557e+01	1.66348e-02	7.81298e-03	3.80201	6.17354	4.36970e-05
6.13378e+01	1.66368e-02	5.52005e-03	4.54092	5.82493	4.36970e-05
6.52199e+01	1.66340e-02	4.13827e-03	5.41709	5.34689	4.36970e-05
6.91021e+01	1.66388e-02	3.65891e-03	0.52458	4.31613	4.36970e-05
7.29842e+01	1.66362e-02	5.47385e-03	1.53446	3.68354	4.36970e-05
7.68664e+01	1.66417e-02	5.23002e-03	1.99837	3.54088	4.36970e-05
8.07485e+01	1.66384e-02	4.26590e-03	2.63170	3.23416	4.36970e-05
8.46307e+01	1.66415e-02	1.44243e-03	2.88781	3.21335	4.36970e-05
8.85128e+01	1.66428e-02	2.48295e-03	6.07122	0.34167	4.36970e-05
9.23949e+01	1.66374e-02	5.11551e-03	0.24730	0.09743	4.36970e-05
9.62771e+01	1.66393e-02	8.32991e-03	0.63632	6.25412	4.36970e-05
1.00159e+02	1.66359e-02	7.34371e-03	1.18183	5.98207	4.36970e-05
1.04041e+02	1.66418e-02	4.10886e-03	1.71226	5.69181	4.36970e-05
1.07923e+02	1.66403e-02	2.36828e-03	3.29525	4.31214	4.36970e-05
1.11806e+02	1.66389e-02	3.47964e-03	4.35301	3.39445	4.36970e-05
1.15688e+02	1.66404e-02	5.53350e-03	4.85206	3.00409	4.36970e-05
1.19570e+02	1.66350e-02	5.03262e-03	5.40938	2.71111	4.36970e-05
1.23452e+02	1.66413e-02	2.86940e-03	0.37313	1.66484	4.36970e-05
1.27334e+02	1.66403e-02	4.28017e-03	1.90519	0.41789	4.36970e-05
1.31216e+02	1.66392e-02	6.18287e-03	2.55407	6.24268	4.36970e-05
1.35098e+02	1.66431e-02	6.91576e-03	2.92785	6.06263	4.36970e-05
1.38981e+02	1.66371e-02	5.96925e-03	3.42123	5.85176	4.36970e-05
1.42863e+02	1.66382e-02	3.73661e-03	4.18063	5.37461	4.36970e-05
1.46745e+02	1.66354e-02	1.73137e-03	5.67753	4.23222	4.36970e-05
1.50627e+02	1.66402e-02	4.51440e-03	0.74696	3.22485	4.36970e-05
1.54509e+02	1.66362e-02	5.59244e-03	1.52510	2.84328	4.36970e-05
1.58391e+02	1.66397e-02	5.11151e-03	2.22046	2.52617	4.36970e-05
1.62273e+02	1.66365e-02	4.16982e-03	3.13132	2.01500	4.36970e-05
1.66156e+02	1.66399e-02	3.16206e-03	4.62414	0.87034	4.36970e-05
1.70038e+02	1.66399e-02	5.64455e-03	5.51475	0.37333	4.36970e-05
1.73920e+02	1.66391e-02	6.30804e-03	6.19113	0.00458	4.36970e-05
1.77802e+02	1.66435e-02	6.74226e-03	0.38019	6.12686	4.36970e-05
1.81684e+02	1.66383e-02	4.34438e-03	0.87751	5.85309	4.36970e-05
1.85566e+02	1.66379e-02	2.25008e-03	2.02608	4.95371	4.36970e-05
1.89448e+02	1.66361e-02	3.53191e-03	3.92111	3.35673	4.36970e-05
1.93331e+02	1.66407e-02	7.29460e-03	4.69583	2.83146	4.36970e-05
1.97213e+02	1.66403e-02	7.19695e-03	5.25789	2.56984	4.36970e-05
2.01095e+02	1.66383e-02	4.32717e-03	5.81074	2.15314	4.36970e-05
2.04977e+02	1.66416e-02	3.50882e-03	0.73909	1.13502	4.36970e-05
2.08859e+02	1.66378e-02	4.29370e-03	1.88968	0.15258	4.36970e-05
2.12741e+02	1.66402e-02	6.41287e-03	2.47271	6.07206	4.36970e-05
2.16623e+02	1.66387e-02	5.82128e-03	3.13225	5.68597	4.36970e-05
